Condensed DOF,Value
0,0.000000000000e+00
1,-1.673583535444e-04
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.228047335982e-04
6,0.000000000000e+00
7,-5.791460326736e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-9.836572616487e-04
12,0.000000000000e+00
13,-1.116266853233e-03
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.136017217937e-03
18,0.000000000000e+00
19,-1.695264386924e-03
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.168983992104e-03
