Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.673583535444e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-6.228047335982e-04
12,0.000000000000e+00
13,-5.791460326736e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-9.836572616487e-04
18,0.000000000000e+00
19,-1.116266853233e-03
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.136017217937e-03
24,0.000000000000e+00
25,-1.695264386924e-03
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.168983992104e-03
