Condensed DOF,Value
0,0.000000000000e+00
1,-7.367036617212e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-4.696342421426e-05
6,0.000000000000e+00
7,-2.923616212288e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-9.281345952376e-05
12,0.000000000000e+00
13,-6.525955578079e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.375509216604e-04
18,0.000000000000e+00
19,-1.150897367406e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.811771701659e-04
24,0.000000000000e+00
25,-1.783797339831e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.236941084168e-04
30,0.000000000000e+00
31,-2.547832562637e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-2.651041835914e-04
36,0.000000000000e+00
37,-3.439548620551e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-3.054103867074e-04
42,0.000000000000e+00
43,-4.455501294937e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-3.446162525900e-04
48,0.000000000000e+00
49,-5.592258263225e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-3.827258598971e-04
54,0.000000000000e+00
55,-6.846400798353e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-4.197438310982e-04
60,0.000000000000e+00
61,-8.214525468184e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-4.556753324741e-04
66,0.000000000000e+00
67,-9.693245834951e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-4.905260741389e-04
72,0.000000000000e+00
73,-1.127919415470e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-5.243023100212e-04
78,0.000000000000e+00
79,-1.296902307673e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-5.570108378837e-04
84,0.000000000000e+00
85,-1.475940734307e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-5.886589992873e-04
90,0.000000000000e+00
91,-1.664704548782e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-6.192546796119e-04
96,0.000000000000e+00
97,-1.862866153660e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-6.488063080504e-04
102,0.000000000000e+00
103,-2.070100670598e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-6.773228576192e-04
108,0.000000000000e+00
109,-2.286086110295e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-7.048138451687e-04
114,0.000000000000e+00
115,-2.510503542436e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-7.312893313491e-04
120,0.000000000000e+00
121,-2.743037265629e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-7.567599206368e-04
126,0.000000000000e+00
127,-2.983374977352e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-7.812367613064e-04
132,0.000000000000e+00
133,-3.231207943893e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-8.047315454734e-04
138,0.000000000000e+00
139,-3.486231170298e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-8.272565090756e-04
144,0.000000000000e+00
145,-3.748143570315e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-8.488244318766e-04
150,0.000000000000e+00
151,-4.016648136344e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-8.694486374612e-04
156,0.000000000000e+00
157,-4.291452109372e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-8.891429932214e-04
162,0.000000000000e+00
163,-4.572267148920e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-9.079219103851e-04
168,0.000000000000e+00
169,-4.858809502991e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-9.258003439896e-04
174,0.000000000000e+00
175,-5.150800178009e-04
176,0.000000000000e+00
