element_id,total_strain_energy
0,1.547195340055e-02
1,1.474707766504e-02
2,1.404010437981e-02
3,1.335132818342e-02
4,1.268100988080e-02
5,1.202937653169e-02
6,1.139662165956e-02
7,1.078290541742e-02
8,1.018835487020e-02
9,9.613064258872e-03
10,9.057095344665e-03
11,8.520477793480e-03
12,8.003209569248e-03
13,7.505257410311e-03
14,7.026557300147e-03
15,6.567015034591e-03
16,6.126506789555e-03
17,5.704879750518e-03
18,5.301952775865e-03
19,4.917517084401e-03
20,4.551337026629e-03
21,4.203150852432e-03
22,3.872671566006e-03
23,3.559587774971e-03
24,3.263564611038e-03
25,2.984244681772e-03
26,2.721249064098e-03
27,2.474178353480e-03
28,2.242613727370e-03
29,2.026118080254e-03
30,1.824237170151e-03
31,1.636500831508e-03
32,1.462424218210e-03
33,1.301509087905e-03
34,1.153245135350e-03
35,1.017111352811e-03
36,8.925774504099e-04
37,7.791052993793e-04
38,6.761504317101e-04
39,5.831635728364e-04
40,4.995922179369e-04
41,4.248822548221e-04
42,3.584796149071e-04
43,2.998319812341e-04
44,2.483905249928e-04
45,2.036116971652e-04
46,1.649590489489e-04
47,1.319050997130e-04
48,1.039332453941e-04
49,8.053970803074e-05
50,6.123553016659e-05
51,4.554860489734e-05
52,3.302575234771e-05
53,2.323483417217e-05
54,1.576691182757e-05
55,1.023844567251e-05
56,6.293534902073e-06
57,3.606200232095e-06
58,1.882706449014e-06
59,8.639279566376e-07
60,3.277547741926e-07
61,9.154067526697e-08
62,1.459259340126e-08
63,7.014764430793e-10
