element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,6.649140e+02,0.000000e+00,-6.649140e+02,6.649140e+02,6.588629e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,6.492910e+02,0.000000e+00,-6.492910e+02,6.492910e+02,6.432428e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,6.336765e+02,0.000000e+00,-6.336765e+02,6.336765e+02,6.276342e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,6.180781e+02,0.000000e+00,-6.180781e+02,6.180781e+02,6.120447e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,6.025034e+02,0.000000e+00,-6.025034e+02,6.025034e+02,5.964819e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,5.869602e+02,0.000000e+00,-5.869602e+02,5.869602e+02,5.809534e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,5.714559e+02,0.000000e+00,-5.714559e+02,5.714559e+02,5.654669e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,5.559983e+02,0.000000e+00,-5.559983e+02,5.559983e+02,5.500299e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,5.405949e+02,0.000000e+00,-5.405949e+02,5.405949e+02,5.346502e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,5.252535e+02,0.000000e+00,-5.252535e+02,5.252535e+02,5.193354e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,5.099816e+02,0.000000e+00,-5.099816e+02,5.099816e+02,5.040930e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,4.947868e+02,0.000000e+00,-4.947868e+02,4.947868e+02,4.889307e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,4.796768e+02,0.000000e+00,-4.796768e+02,4.796768e+02,4.738562e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,4.646592e+02,0.000000e+00,-4.646592e+02,4.646592e+02,4.588770e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,4.497417e+02,0.000000e+00,-4.497417e+02,4.497417e+02,4.440008e+02
15,0.000000e+00,0.000000e+00,0.000000e+00,4.349318e+02,0.000000e+00,-4.349318e+02,4.349318e+02,4.292353e+02
16,0.000000e+00,0.000000e+00,0.000000e+00,4.202372e+02,0.000000e+00,-4.202372e+02,4.202372e+02,4.145880e+02
17,0.000000e+00,0.000000e+00,0.000000e+00,4.056656e+02,0.000000e+00,-4.056656e+02,4.056656e+02,4.000666e+02
18,0.000000e+00,0.000000e+00,0.000000e+00,3.912245e+02,0.000000e+00,-3.912245e+02,3.912245e+02,3.856787e+02
19,0.000000e+00,0.000000e+00,0.000000e+00,3.769216e+02,0.000000e+00,-3.769216e+02,3.769216e+02,3.714319e+02
20,0.000000e+00,0.000000e+00,0.000000e+00,3.627645e+02,0.000000e+00,-3.627645e+02,3.627645e+02,3.573339e+02
21,0.000000e+00,0.000000e+00,0.000000e+00,3.487609e+02,0.000000e+00,-3.487609e+02,3.487609e+02,3.433924e+02
22,0.000000e+00,0.000000e+00,0.000000e+00,3.349183e+02,0.000000e+00,-3.349183e+02,3.349183e+02,3.296148e+02
23,0.000000e+00,0.000000e+00,0.000000e+00,3.212445e+02,0.000000e+00,-3.212445e+02,3.212445e+02,3.160089e+02
24,0.000000e+00,0.000000e+00,0.000000e+00,3.077470e+02,0.000000e+00,-3.077470e+02,3.077470e+02,3.025824e+02
25,0.000000e+00,0.000000e+00,0.000000e+00,2.944335e+02,0.000000e+00,-2.944335e+02,2.944335e+02,2.893427e+02
26,0.000000e+00,0.000000e+00,0.000000e+00,2.813115e+02,0.000000e+00,-2.813115e+02,2.813115e+02,2.762976e+02
27,0.000000e+00,0.000000e+00,0.000000e+00,2.683888e+02,0.000000e+00,-2.683888e+02,2.683888e+02,2.634546e+02
28,0.000000e+00,0.000000e+00,0.000000e+00,2.556729e+02,0.000000e+00,-2.556729e+02,2.556729e+02,2.508215e+02
29,0.000000e+00,0.000000e+00,0.000000e+00,2.431715e+02,0.000000e+00,-2.431715e+02,2.431715e+02,2.384058e+02
30,0.000000e+00,0.000000e+00,0.000000e+00,2.308923e+02,0.000000e+00,-2.308923e+02,2.308923e+02,2.262152e+02
31,0.000000e+00,0.000000e+00,0.000000e+00,2.188427e+02,0.000000e+00,-2.188427e+02,2.188427e+02,2.142572e+02
32,0.000000e+00,0.000000e+00,0.000000e+00,2.070306e+02,0.000000e+00,-2.070306e+02,2.070306e+02,2.025396e+02
33,0.000000e+00,0.000000e+00,0.000000e+00,1.954634e+02,0.000000e+00,-1.954634e+02,1.954634e+02,1.910700e+02
34,0.000000e+00,0.000000e+00,0.000000e+00,1.841489e+02,0.000000e+00,-1.841489e+02,1.841489e+02,1.798559e+02
35,0.000000e+00,0.000000e+00,0.000000e+00,1.730946e+02,0.000000e+00,-1.730946e+02,1.730946e+02,1.689051e+02
36,0.000000e+00,0.000000e+00,0.000000e+00,1.623082e+02,0.000000e+00,-1.623082e+02,1.623082e+02,1.582251e+02
37,0.000000e+00,0.000000e+00,0.000000e+00,1.517974e+02,0.000000e+00,-1.517974e+02,1.517974e+02,1.478235e+02
38,0.000000e+00,0.000000e+00,0.000000e+00,1.415696e+02,0.000000e+00,-1.415696e+02,1.415696e+02,1.377081e+02
39,0.000000e+00,0.000000e+00,0.000000e+00,1.316327e+02,0.000000e+00,-1.316327e+02,1.316327e+02,1.278864e+02
40,0.000000e+00,0.000000e+00,0.000000e+00,1.219942e+02,0.000000e+00,-1.219942e+02,1.219942e+02,1.183661e+02
41,0.000000e+00,0.000000e+00,0.000000e+00,1.126617e+02,0.000000e+00,-1.126617e+02,1.126617e+02,1.091547e+02
42,0.000000e+00,0.000000e+00,0.000000e+00,1.036428e+02,0.000000e+00,-1.036428e+02,1.036428e+02,1.002600e+02
43,0.000000e+00,0.000000e+00,0.000000e+00,9.494529e+01,0.000000e+00,-9.494529e+01,9.494529e+01,9.168949e+01
44,0.000000e+00,0.000000e+00,0.000000e+00,8.657668e+01,0.000000e+00,-8.657668e+01,8.657668e+01,8.345089e+01
45,0.000000e+00,0.000000e+00,0.000000e+00,7.854462e+01,0.000000e+00,-7.854462e+01,7.854462e+01,7.555179e+01
46,0.000000e+00,0.000000e+00,0.000000e+00,7.085674e+01,0.000000e+00,-7.085674e+01,7.085674e+01,6.799984e+01
47,0.000000e+00,0.000000e+00,0.000000e+00,6.352067e+01,0.000000e+00,-6.352067e+01,6.352067e+01,6.080265e+01
48,0.000000e+00,0.000000e+00,0.000000e+00,5.654404e+01,0.000000e+00,-5.654404e+01,5.654404e+01,5.396786e+01
49,0.000000e+00,0.000000e+00,0.000000e+00,4.993449e+01,0.000000e+00,-4.993449e+01,4.993449e+01,4.750309e+01
50,0.000000e+00,0.000000e+00,0.000000e+00,4.369963e+01,0.000000e+00,-4.369963e+01,4.369963e+01,4.141598e+01
51,0.000000e+00,0.000000e+00,0.000000e+00,3.784711e+01,0.000000e+00,-3.784711e+01,3.784711e+01,3.571415e+01
52,0.000000e+00,0.000000e+00,0.000000e+00,3.238454e+01,0.000000e+00,-3.238454e+01,3.238454e+01,3.040524e+01
53,0.000000e+00,0.000000e+00,0.000000e+00,2.731957e+01,0.000000e+00,-2.731957e+01,2.731957e+01,2.549687e+01
54,0.000000e+00,0.000000e+00,0.000000e+00,2.265981e+01,0.000000e+00,-2.265981e+01,2.265981e+01,2.099667e+01
55,0.000000e+00,0.000000e+00,0.000000e+00,1.841289e+01,0.000000e+00,-1.841289e+01,1.841289e+01,1.691227e+01
56,0.000000e+00,0.000000e+00,0.000000e+00,1.458646e+01,0.000000e+00,-1.458646e+01,1.458646e+01,1.325131e+01
57,0.000000e+00,0.000000e+00,0.000000e+00,1.118813e+01,0.000000e+00,-1.118813e+01,1.118813e+01,1.002140e+01
58,0.000000e+00,0.000000e+00,0.000000e+00,8.225531e+00,0.000000e+00,-8.225531e+00,8.225531e+00,7.230189e+00
59,0.000000e+00,0.000000e+00,0.000000e+00,5.706300e+00,0.000000e+00,-5.706300e+00,5.706300e+00,4.885294e+00
60,0.000000e+00,0.000000e+00,0.000000e+00,3.638063e+00,0.000000e+00,-3.638063e+00,3.638063e+00,2.994348e+00
61,0.000000e+00,0.000000e+00,0.000000e+00,2.028449e+00,0.000000e+00,-2.028449e+00,2.028449e+00,1.564980e+00
62,0.000000e+00,0.000000e+00,0.000000e+00,8.850886e-01,0.000000e+00,-8.850886e-01,8.850886e-01,6.048207e-01
63,0.000000e+00,0.000000e+00,0.000000e+00,2.156103e-01,0.000000e+00,-2.156103e-01,2.156103e-01,1.214982e-01
