Global DOF,Value
0,0.000000000000e+00
1,-5.000000000000e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.671874999999e+02
6,0.000000000000e+00
7,-3.641531520771e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.547473508865e-13
12,0.000000000000e+00
13,-7.105427357601e-15
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-3.183231456205e-12
18,0.000000000000e+00
19,-2.183497826991e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-4.547473508865e-12
24,0.000000000000e+00
25,4.364153483039e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,2.273736754432e-12
30,0.000000000000e+00
31,2.182787284255e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-4.547473508865e-12
36,0.000000000000e+00
37,-3.637978807092e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.547473508865e-12
42,0.000000000000e+00
43,6.545519681822e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-3.637978807092e-12
48,0.000000000000e+00
49,-7.283063041541e-12
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.818989403546e-12
