Condensed DOF,Value
0,0.000000000000e+00
1,-1.387349676949e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.772713857986e-05
6,0.000000000000e+00
7,-5.530062912455e-07
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-3.526865359968e-05
12,0.000000000000e+00
13,-1.239913606952e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.262454575870e-05
18,0.000000000000e+00
19,-2.196556569645e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-6.979481681831e-05
24,0.000000000000e+00
25,-3.420034873436e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-8.677947013314e-05
30,0.000000000000e+00
31,-4.907448280755e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.035785111821e-04
36,0.000000000000e+00
37,-6.655896659691e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.201919480994e-04
42,0.000000000000e+00
43,-8.662480029638e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.366197922059e-04
48,0.000000000000e+00
49,-1.092429861523e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.528620585397e-04
54,0.000000000000e+00
55,-1.343845290856e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.689187663877e-04
60,0.000000000000e+00
61,-1.620204373974e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.847899398163e-04
66,0.000000000000e+00
67,-1.921217235572e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-2.004756082029e-04
72,0.000000000000e+00
73,-2.246594050742e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-2.159758067664e-04
78,0.000000000000e+00
79,-2.596045054514e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-2.312905770988e-04
84,0.000000000000e+00
85,-2.969280552230e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-2.464199676960e-04
90,0.000000000000e+00
91,-3.366010930749e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-2.613640344888e-04
96,0.000000000000e+00
97,-3.785946670472e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-2.761228413743e-04
102,0.000000000000e+00
103,-4.228798358214e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-2.906964607467e-04
108,0.000000000000e+00
109,-4.694276700884e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-3.050849740285e-04
114,0.000000000000e+00
115,-5.182092540017e-05
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-3.192884722014e-04
120,0.000000000000e+00
121,-5.691956867119e-05
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-3.333070563376e-04
126,0.000000000000e+00
127,-6.223580839851e-05
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-3.471408381307e-04
132,0.000000000000e+00
133,-6.776675799039e-05
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-3.607899404271e-04
138,0.000000000000e+00
139,-7.350953286516e-05
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-3.742544977565e-04
144,0.000000000000e+00
145,-7.946125063788e-05
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-3.875346568634e-04
150,0.000000000000e+00
151,-8.561903131541e-05
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-4.006305772381e-04
156,0.000000000000e+00
157,-9.197999749967e-05
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-4.135424316479e-04
162,0.000000000000e+00
163,-9.854127459925e-05
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-4.262704066676e-04
168,0.000000000000e+00
169,-1.052999910493e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-4.388147032115e-04
174,0.000000000000e+00
175,-1.122532785398e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-4.511755370636e-04
180,0.000000000000e+00
181,-1.193982722518e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-4.633531394092e-04
186,0.000000000000e+00
187,-1.267321111026e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-4.753477573657e-04
