element_id,total_strain_energy
0,4.408760750759e-03
1,4.316915381857e-03
2,4.226037141628e-03
3,4.136126530628e-03
4,4.047184280380e-03
5,3.959211339538e-03
6,3.872208860068e-03
7,3.786178183419e-03
8,3.701120826703e-03
9,3.617038468887e-03
10,3.533932936980e-03
11,3.451806192240e-03
12,3.370660316391e-03
13,3.290497497858e-03
14,3.211320018015e-03
15,3.133130237455e-03
16,3.055930582293e-03
17,2.979723530490e-03
18,2.904511598212e-03
19,2.830297326230e-03
20,2.757083266364e-03
21,2.684871967959e-03
22,2.613665964443e-03
23,2.543467759912e-03
24,2.474279815802e-03
25,2.406104537612e-03
26,2.338944261726e-03
27,2.272801242307e-03
28,2.207677638260e-03
29,2.143575500337e-03
30,2.080496758307e-03
31,2.018443208256e-03
32,1.957416500019e-03
33,1.897418124715e-03
34,1.838449402432e-03
35,1.780511470055e-03
36,1.723605269268e-03
37,1.667731534700e-03
38,1.612890782236e-03
39,1.559083297550e-03
40,1.506309124802e-03
41,1.454568055546e-03
42,1.403859617856e-03
43,1.354183065689e-03
44,1.305537368479e-03
45,1.257921200969e-03
46,1.211332933319e-03
47,1.165770621504e-03
48,1.121231997953e-03
49,1.077714462547e-03
50,1.035215073867e-03
51,9.937305408158e-04
52,9.532572145576e-04
53,9.137910808159e-04
54,8.753277525431e-04
55,8.378624629524e-04
56,8.013900589845e-04
57,7.659049951350e-04
58,7.314013277698e-04
59,6.978727098144e-04
60,6.653123859479e-04
61,6.337131882667e-04
62,6.030675324168e-04
63,5.733674142557e-04
64,5.446044070079e-04
65,5.167696590357e-04
66,4.898538920620e-04
67,4.638474000378e-04
68,4.387400486002e-04
69,4.145212751261e-04
70,3.911800893952e-04
71,3.687050749798e-04
72,3.470843912213e-04
73,3.263057759451e-04
74,3.063565488539e-04
75,2.872236156422e-04
76,2.688934729223e-04
77,2.513522138540e-04
78,2.345855345740e-04
79,2.185787414602e-04
80,2.033167592076e-04
81,1.887841397734e-04
82,1.749650721850e-04
83,1.618433932430e-04
84,1.494025991470e-04
85,1.376258580779e-04
86,1.264960237274e-04
87,1.159956498278e-04
88,1.061070056928e-04
89,9.681209279356e-05
90,8.809266238654e-05
91,7.993023423970e-05
92,7.230611645686e-05
93,6.520142645421e-05
94,5.859711305896e-05
95,5.247397985019e-05
96,4.681270965212e-05
97,4.159389030227e-05
98,3.679804166062e-05
99,3.240564393284e-05
100,2.839716728772e-05
101,2.475310283013e-05
102,2.145399493597e-05
103,1.848047499008e-05
104,1.581329656239e-05
105,1.343337201795e-05
106,1.132181063288e-05
107,9.459958201944e-06
108,7.829438199582e-06
109,6.412194514709e-06
110,5.190535772913e-06
111,4.147181304240e-06
112,3.265308758096e-06
113,2.528603419978e-06
114,1.921309243710e-06
115,1.428281639280e-06
116,1.035042041679e-06
117,7.278342982786e-07
118,4.936829030563e-07
119,3.204531117730e-07
120,1.969129664414e-07
121,1.127972656825e-07
122,5.887351458714e-08
123,2.700988308640e-08
124,1.024521026426e-08
125,2.861086895689e-09
126,4.560494101487e-10
127,2.192146794839e-11
