element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,4.994150e+02,0.000000e+00,-4.994150e+02,4.994150e+02,4.973979e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,4.942067e+02,0.000000e+00,-4.942067e+02,4.942067e+02,4.921895e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,4.889984e+02,0.000000e+00,-4.889984e+02,4.889984e+02,4.869812e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,4.837901e+02,0.000000e+00,-4.837901e+02,4.837901e+02,4.817730e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,4.785819e+02,0.000000e+00,-4.785819e+02,4.785819e+02,4.765648e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,4.733738e+02,0.000000e+00,-4.733738e+02,4.733738e+02,4.713568e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,4.681659e+02,0.000000e+00,-4.681659e+02,4.681659e+02,4.661490e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,4.629583e+02,0.000000e+00,-4.629583e+02,4.629583e+02,4.609415e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,4.577511e+02,0.000000e+00,-4.577511e+02,4.577511e+02,4.557345e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,4.525444e+02,0.000000e+00,-4.525444e+02,4.525444e+02,4.505280e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,4.473382e+02,0.000000e+00,-4.473382e+02,4.473382e+02,4.453222e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,4.421329e+02,0.000000e+00,-4.421329e+02,4.421329e+02,4.401172e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,4.369285e+02,0.000000e+00,-4.369285e+02,4.369285e+02,4.349132e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,4.317251e+02,0.000000e+00,-4.317251e+02,4.317251e+02,4.297103e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,4.265231e+02,0.000000e+00,-4.265231e+02,4.265231e+02,4.245088e+02
15,0.000000e+00,0.000000e+00,0.000000e+00,4.213225e+02,0.000000e+00,-4.213225e+02,4.213225e+02,4.193089e+02
16,0.000000e+00,0.000000e+00,0.000000e+00,4.161236e+02,0.000000e+00,-4.161236e+02,4.161236e+02,4.141108e+02
17,0.000000e+00,0.000000e+00,0.000000e+00,4.109267e+02,0.000000e+00,-4.109267e+02,4.109267e+02,4.089147e+02
18,0.000000e+00,0.000000e+00,0.000000e+00,4.057320e+02,0.000000e+00,-4.057320e+02,4.057320e+02,4.037209e+02
19,0.000000e+00,0.000000e+00,0.000000e+00,4.005397e+02,0.000000e+00,-4.005397e+02,4.005397e+02,3.985296e+02
20,0.000000e+00,0.000000e+00,0.000000e+00,3.953501e+02,0.000000e+00,-3.953501e+02,3.953501e+02,3.933412e+02
21,0.000000e+00,0.000000e+00,0.000000e+00,3.901635e+02,0.000000e+00,-3.901635e+02,3.901635e+02,3.881559e+02
22,0.000000e+00,0.000000e+00,0.000000e+00,3.849803e+02,0.000000e+00,-3.849803e+02,3.849803e+02,3.829741e+02
23,0.000000e+00,0.000000e+00,0.000000e+00,3.798007e+02,0.000000e+00,-3.798007e+02,3.798007e+02,3.777960e+02
24,0.000000e+00,0.000000e+00,0.000000e+00,3.746251e+02,0.000000e+00,-3.746251e+02,3.746251e+02,3.726221e+02
25,0.000000e+00,0.000000e+00,0.000000e+00,3.694538e+02,0.000000e+00,-3.694538e+02,3.694538e+02,3.674526e+02
26,0.000000e+00,0.000000e+00,0.000000e+00,3.642872e+02,0.000000e+00,-3.642872e+02,3.642872e+02,3.622880e+02
27,0.000000e+00,0.000000e+00,0.000000e+00,3.591257e+02,0.000000e+00,-3.591257e+02,3.591257e+02,3.571286e+02
28,0.000000e+00,0.000000e+00,0.000000e+00,3.539697e+02,0.000000e+00,-3.539697e+02,3.539697e+02,3.519748e+02
