Global DOF,Value
0,0.000000000000e+00
1,-3.333333333340e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.001302083341e+02
6,0.000000000000e+00
7,2.425282197294e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.136868377216e-12
12,0.000000000000e+00
13,1.697708640336e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,4.547473508865e-13
18,0.000000000000e+00
19,2.425304401754e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,4.547473508865e-13
24,0.000000000000e+00
25,-7.761036258103e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,0.000000000000e+00
30,0.000000000000e+00
31,2.570832435822e-10
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.818989403546e-12
36,0.000000000000e+00
37,1.552198369836e-10
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,1.637090463191e-11
42,0.000000000000e+00
43,-1.940261284972e-10
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,6.366462912410e-12
48,0.000000000000e+00
49,2.716333824537e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.273292582482e-11
54,0.000000000000e+00
55,3.007372129105e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.182343112305e-11
60,0.000000000000e+00
61,-7.761258302708e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,6.366462912410e-12
66,0.000000000000e+00
67,2.716298297400e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,1.637090463191e-11
72,0.000000000000e+00
73,7.372946697615e-10
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,2.546585164964e-11
78,0.000000000000e+00
79,-2.231388407381e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,3.456079866737e-11
84,0.000000000000e+00
85,1.086533529815e-09
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,9.913492249325e-11
90,0.000000000000e+00
91,-1.620122702661e-09
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,4.365574568510e-11
96,0.000000000000e+00
97,6.887894699048e-10
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-6.184563972056e-11
