element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,4.954345e+02,0.000000e+00,-4.954345e+02,4.954345e+02,4.792979e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,4.537738e+02,0.000000e+00,-4.537738e+02,4.537738e+02,4.376506e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,4.121580e+02,0.000000e+00,-4.121580e+02,4.121580e+02,3.960836e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,3.706855e+02,0.000000e+00,-3.706855e+02,3.706855e+02,3.547190e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,3.295158e+02,0.000000e+00,-3.295158e+02,3.295158e+02,3.137400e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,2.888694e+02,0.000000e+00,-2.888694e+02,2.888694e+02,2.733907e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,2.490279e+02,0.000000e+00,-2.490279e+02,2.490279e+02,2.339762e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,2.103337e+02,0.000000e+00,-2.103337e+02,2.103337e+02,1.958628e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,1.731906e+02,0.000000e+00,-1.731906e+02,1.731906e+02,1.594777e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,1.380632e+02,0.000000e+00,-1.380632e+02,1.380632e+02,1.253092e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,1.054771e+02,0.000000e+00,-1.054771e+02,1.054771e+02,9.390666e+01
11,0.000000e+00,0.000000e+00,0.000000e+00,7.601902e+01,0.000000e+00,-7.601902e+01,7.601902e+01,6.588033e+01
12,0.000000e+00,0.000000e+00,0.000000e+00,5.033677e+01,0.000000e+00,-5.033677e+01,5.033677e+01,4.190165e+01
13,0.000000e+00,0.000000e+00,0.000000e+00,2.913910e+01,0.000000e+00,-2.913910e+01,2.913910e+01,2.270304e+01
14,0.000000e+00,0.000000e+00,0.000000e+00,1.319584e+01,0.000000e+00,-1.319584e+01,1.319584e+01,9.077962e+00
15,0.000000e+00,0.000000e+00,0.000000e+00,3.337839e+00,0.000000e+00,-3.337839e+00,3.337839e+00,1.880900e+00
