Row (Global DOF),Column (Global DOF),K Value
0,0,1.000000000000e+36
1,1,1.000000000000e+36
2,2,1.000000000000e+36
3,3,1.000000000000e+36
4,4,1.000000000000e+36
5,5,1.000000000000e+36
6,6,8.803200000000e+09
6,12,-4.401600000000e+09
7,7,4.309793832960e+10
7,11,0.000000000000e+00
7,13,-2.154896916480e+10
7,17,6.734052864000e+08
8,8,6.676217856000e+09
8,10,0.000000000000e+00
8,14,-3.338108928000e+09
8,16,-1.043159040000e+08
9,9,6.756644160000e+04
9,15,-3.378322080000e+04
10,8,0.000000000000e+00
10,10,8.692992000000e+06
10,14,1.043159040000e+08
10,16,2.173248000000e+06
11,7,0.000000000000e+00
11,11,5.611710720000e+07
11,13,-6.734052864000e+08
11,17,1.402927680000e+07
12,6,-4.401600000000e+09
12,12,8.803200000000e+09
12,18,-4.401600000000e+09
13,7,-2.154896916480e+10
13,11,-6.734052864000e+08
13,13,4.309793832960e+10
13,17,0.000000000000e+00
13,19,-2.154896916480e+10
13,23,6.734052864000e+08
14,8,-3.338108928000e+09
14,10,1.043159040000e+08
14,14,6.676217856000e+09
14,16,0.000000000000e+00
14,20,-3.338108928000e+09
14,22,-1.043159040000e+08
15,9,-3.378322080000e+04
15,15,6.756644160000e+04
15,21,-3.378322080000e+04
16,8,-1.043159040000e+08
16,10,2.173248000000e+06
16,14,0.000000000000e+00
16,16,8.692992000000e+06
16,20,1.043159040000e+08
16,22,2.173248000000e+06
17,7,6.734052864000e+08
17,11,1.402927680000e+07
17,13,0.000000000000e+00
17,17,5.611710720000e+07
17,19,-6.734052864000e+08
17,23,1.402927680000e+07
18,12,-4.401600000000e+09
18,18,8.803200000000e+09
18,24,-4.401600000000e+09
19,13,-2.154896916480e+10
19,17,-6.734052864000e+08
19,19,4.309793832960e+10
19,23,0.000000000000e+00
19,25,-2.154896916480e+10
19,29,6.734052864000e+08
20,14,-3.338108928000e+09
20,16,1.043159040000e+08
20,20,6.676217856000e+09
20,22,0.000000000000e+00
20,26,-3.338108928000e+09
20,28,-1.043159040000e+08
21,15,-3.378322080000e+04
21,21,6.756644160000e+04
21,27,-3.378322080000e+04
22,14,-1.043159040000e+08
22,16,2.173248000000e+06
22,20,0.000000000000e+00
22,22,8.692992000000e+06
22,26,1.043159040000e+08
22,28,2.173248000000e+06
23,13,6.734052864000e+08
23,17,1.402927680000e+07
23,19,0.000000000000e+00
23,23,5.611710720000e+07
23,25,-6.734052864000e+08
23,29,1.402927680000e+07
24,18,-4.401600000000e+09
24,24,8.803200000000e+09
24,30,-4.401600000000e+09
25,19,-2.154896916480e+10
25,23,-6.734052864000e+08
25,25,4.309793832960e+10
25,29,0.000000000000e+00
25,31,-2.154896916480e+10
25,35,6.734052864000e+08
26,20,-3.338108928000e+09
26,22,1.043159040000e+08
26,26,6.676217856000e+09
26,28,0.000000000000e+00
26,32,-3.338108928000e+09
26,34,-1.043159040000e+08
27,21,-3.378322080000e+04
27,27,6.756644160000e+04
27,33,-3.378322080000e+04
28,20,-1.043159040000e+08
28,22,2.173248000000e+06
28,26,0.000000000000e+00
28,28,8.692992000000e+06
28,32,1.043159040000e+08
28,34,2.173248000000e+06
29,19,6.734052864000e+08
29,23,1.402927680000e+07
29,25,0.000000000000e+00
29,29,5.611710720000e+07
29,31,-6.734052864000e+08
29,35,1.402927680000e+07
30,24,-4.401600000000e+09
30,30,8.803200000000e+09
30,36,-4.401600000000e+09
31,25,-2.154896916480e+10
31,29,-6.734052864000e+08
31,31,4.309793832960e+10
31,35,0.000000000000e+00
31,37,-2.154896916480e+10
31,41,6.734052864000e+08
32,26,-3.338108928000e+09
32,28,1.043159040000e+08
32,32,6.676217856000e+09
32,34,0.000000000000e+00
32,38,-3.338108928000e+09
32,40,-1.043159040000e+08
33,27,-3.378322080000e+04
33,33,6.756644160000e+04
33,39,-3.378322080000e+04
34,26,-1.043159040000e+08
34,28,2.173248000000e+06
34,32,0.000000000000e+00
34,34,8.692992000000e+06
34,38,1.043159040000e+08
34,40,2.173248000000e+06
35,25,6.734052864000e+08
35,29,1.402927680000e+07
35,31,0.000000000000e+00
35,35,5.611710720000e+07
35,37,-6.734052864000e+08
35,41,1.402927680000e+07
36,30,-4.401600000000e+09
36,36,8.803200000000e+09
36,42,-4.401600000000e+09
37,31,-2.154896916480e+10
37,35,-6.734052864000e+08
37,37,4.309793832960e+10
37,41,0.000000000000e+00
37,43,-2.154896916480e+10
37,47,6.734052864000e+08
38,32,-3.338108928000e+09
38,34,1.043159040000e+08
38,38,6.676217856000e+09
38,40,0.000000000000e+00
38,44,-3.338108928000e+09
38,46,-1.043159040000e+08
39,33,-3.378322080000e+04
39,39,6.756644160000e+04
39,45,-3.378322080000e+04
40,32,-1.043159040000e+08
40,34,2.173248000000e+06
40,38,0.000000000000e+00
40,40,8.692992000000e+06
40,44,1.043159040000e+08
40,46,2.173248000000e+06
41,31,6.734052864000e+08
41,35,1.402927680000e+07
41,37,0.000000000000e+00
41,41,5.611710720000e+07
41,43,-6.734052864000e+08
41,47,1.402927680000e+07
42,36,-4.401600000000e+09
42,42,8.803200000000e+09
42,48,-4.401600000000e+09
43,37,-2.154896916480e+10
43,41,-6.734052864000e+08
43,43,4.309793832960e+10
43,47,0.000000000000e+00
43,49,-2.154896916480e+10
43,53,6.734052864000e+08
44,38,-3.338108928000e+09
44,40,1.043159040000e+08
44,44,6.676217856000e+09
44,46,0.000000000000e+00
44,50,-3.338108928000e+09
44,52,-1.043159040000e+08
45,39,-3.378322080000e+04
45,45,6.756644160000e+04
45,51,-3.378322080000e+04
46,38,-1.043159040000e+08
46,40,2.173248000000e+06
46,44,0.000000000000e+00
46,46,8.692992000000e+06
46,50,1.043159040000e+08
46,52,2.173248000000e+06
47,37,6.734052864000e+08
47,41,1.402927680000e+07
47,43,0.000000000000e+00
47,47,5.611710720000e+07
47,49,-6.734052864000e+08
47,53,1.402927680000e+07
48,42,-4.401600000000e+09
48,48,8.803200000000e+09
48,54,-4.401600000000e+09
49,43,-2.154896916480e+10
49,47,-6.734052864000e+08
49,49,4.309793832960e+10
49,53,0.000000000000e+00
49,55,-2.154896916480e+10
49,59,6.734052864000e+08
50,44,-3.338108928000e+09
50,46,1.043159040000e+08
50,50,6.676217856000e+09
50,52,0.000000000000e+00
50,56,-3.338108928000e+09
50,58,-1.043159040000e+08
51,45,-3.378322080000e+04
51,51,6.756644160000e+04
51,57,-3.378322080000e+04
