Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-2.196692659248e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-6.979917150841e-05
12,0.000000000000e+00
13,-8.663025450155e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.366285355738e-04
18,0.000000000000e+00
19,-1.921340353484e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.004888082250e-04
24,0.000000000000e+00
25,-3.366230798357e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.613817931302e-04
30,0.000000000000e+00
31,-5.182438074654e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-3.193109254158e-04
36,0.000000000000e+00
37,-7.351454361440e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-3.742818154865e-04
42,0.000000000000e+00
43,-9.854815116750e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-4.263027928444e-04
48,0.000000000000e+00
49,-1.267411777138e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-4.753854499089e-04
54,0.000000000000e+00
55,-1.579104382157e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-5.215451858358e-04
60,0.000000000000e+00
61,-1.918738432053e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-5.648017503373e-04
66,0.000000000000e+00
67,-2.284506876884e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-6.051797875009e-04
72,0.000000000000e+00
73,-2.674619740376e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-6.427093796097e-04
78,0.000000000000e+00
79,-3.087307688738e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-6.774265909612e-04
84,0.000000000000e+00
85,-3.520825939364e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-7.093740116870e-04
90,0.000000000000e+00
91,-3.973458509422e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-7.386013015728e-04
96,0.000000000000e+00
97,-4.443522804334e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-7.651657338771e-04
102,0.000000000000e+00
103,-4.929374546137e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-7.891327391515e-04
108,0.000000000000e+00
109,-5.429413041738e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-8.105764490597e-04
114,0.000000000000e+00
115,-5.942086791051e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-8.295802401972e-04
120,0.000000000000e+00
121,-6.465899435022e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-8.462372779109e-04
126,0.000000000000e+00
127,-6.999416043543e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-8.606510601184e-04
132,0.000000000000e+00
133,-7.541269743253e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-8.729359611276e-04
138,0.000000000000e+00
139,-8.090168685227e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-8.832177754564e-04
144,0.000000000000e+00
145,-8.644903352546e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-8.916342616521e-04
150,0.000000000000e+00
151,-9.204354207763e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-8.983356861106e-04
156,0.000000000000e+00
157,-9.767499680252e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-9.034853668965e-04
162,0.000000000000e+00
163,-1.033342449344e-03
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-9.072602175622e-04
168,0.000000000000e+00
169,-1.090132833194e-03
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-9.098512909677e-04
174,0.000000000000e+00
175,-1.147053484855e-03
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-9.114643230997e-04
180,0.000000000000e+00
181,-1.204050101116e-03
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-9.123202768916e-04
186,-0.000000000000e+00
187,-1.261082678953e-03
188,-0.000000000000e+00
189,-0.000000000000e+00
190,-0.000000000000e+00
191,-9.126558860426e-04
192,0.000000000000e+00
193,-1.318126518198e-03
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-9.127241988376e-04
