element_id,total_strain_energy
0,1.708997186593e-02
1,1.566683994255e-02
2,1.430589475256e-02
3,1.300755518866e-02
4,1.177237062508e-02
5,1.060096465718e-02
6,9.493979308994e-03
7,8.452019999088e-03
8,7.475601627991e-03
9,6.565096222632e-03
10,5.720682646149e-03
11,4.942298953896e-03
12,4.229598049140e-03
13,3.581907364497e-03
14,2.998193367814e-03
15,2.477031763774e-03
16,2.016584335148e-03
17,1.614583440176e-03
18,1.268325255197e-03
19,9.746729242829e-04
20,7.300708501640e-04
21,5.305714334092e-04
22,3.718756394111e-04
23,2.493888453192e-04
24,1.582934916868e-04
25,9.364013620793e-05
26,5.045857951383e-05
27,2.389080562487e-05
28,9.347552234257e-06
29,2.690398650027e-06
30,4.413317788418e-07
31,2.182318518984e-08
