Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.273626275273e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.778697264471e-04
12,0.000000000000e+00
13,-4.471304370206e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-7.713037163351e-04
18,0.000000000000e+00
19,-8.718375276479e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-9.037648089363e-04
24,0.000000000000e+00
25,-1.333916862264e-03
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-9.343555993801e-04
