Global DOF,Value
0,0.000000000000e+00
1,-3.333333232366e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.000081373445e+02
6,0.000000000000e+00
7,-7.716588614633e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,2.625938577694e-08
12,0.000000000000e+00
13,-5.256953270749e-07
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-9.980067261495e-08
18,0.000000000000e+00
19,-1.677385859301e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-4.200683179079e-08
24,0.000000000000e+00
25,-2.820360943956e-07
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.192329364130e-07
30,0.000000000000e+00
31,2.974199957428e-06
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-7.613016350660e-08
36,0.000000000000e+00
37,3.519530858143e-06
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,7.577818905702e-08
42,0.000000000000e+00
43,-5.211707059222e-06
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,1.506386979599e-07
48,0.000000000000e+00
49,-4.547283257633e-06
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,4.302910383558e-08
54,0.000000000000e+00
55,-5.244770658330e-07
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-7.893322617747e-08
60,0.000000000000e+00
61,2.836289771324e-06
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,1.671287463978e-08
66,0.000000000000e+00
67,-3.516654365487e-06
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-5.636684363708e-08
72,0.000000000000e+00
73,-1.815976463426e-06
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,1.782609615475e-10
78,0.000000000000e+00
79,3.919374315764e-06
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-5.977017281111e-08
84,0.000000000000e+00
85,3.315571653451e-06
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,8.062306733336e-08
90,0.000000000000e+00
91,2.387885031818e-06
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,4.959474608768e-08
96,0.000000000000e+00
97,-1.614155031859e-09
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,5.603396857623e-08
102,0.000000000000e+00
103,1.685433361764e-07
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,3.934292180929e-08
108,0.000000000000e+00
109,-3.732910421883e-06
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-3.659079084173e-08
114,0.000000000000e+00
115,1.854166506110e-06
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-7.931157597341e-08
120,0.000000000000e+00
121,3.278358019276e-06
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.758235157467e-08
126,0.000000000000e+00
127,-1.158662022771e-06
128,0.000000000000e+00
