element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,0.000000e+00,0.000000e+00,4.988342e+02,0.000000e+00,-4.988342e+02,4.988342e+02,4.947998e+02
1,0.000000e+00,0.000000e+00,0.000000e+00,4.884175e+02,0.000000e+00,-4.884175e+02,4.884175e+02,4.843832e+02
2,0.000000e+00,0.000000e+00,0.000000e+00,4.780011e+02,0.000000e+00,-4.780011e+02,4.780011e+02,4.739669e+02
3,0.000000e+00,0.000000e+00,0.000000e+00,4.675851e+02,0.000000e+00,-4.675851e+02,4.675851e+02,4.635515e+02
4,0.000000e+00,0.000000e+00,0.000000e+00,4.571704e+02,0.000000e+00,-4.571704e+02,4.571704e+02,4.531375e+02
5,0.000000e+00,0.000000e+00,0.000000e+00,4.467577e+02,0.000000e+00,-4.467577e+02,4.467577e+02,4.427260e+02
6,0.000000e+00,0.000000e+00,0.000000e+00,4.363482e+02,0.000000e+00,-4.363482e+02,4.363482e+02,4.323181e+02
7,0.000000e+00,0.000000e+00,0.000000e+00,4.259431e+02,0.000000e+00,-4.259431e+02,4.259431e+02,4.219153e+02
8,0.000000e+00,0.000000e+00,0.000000e+00,4.155441e+02,0.000000e+00,-4.155441e+02,4.155441e+02,4.115193e+02
9,0.000000e+00,0.000000e+00,0.000000e+00,4.051530e+02,0.000000e+00,-4.051530e+02,4.051530e+02,4.011319e+02
10,0.000000e+00,0.000000e+00,0.000000e+00,3.947718e+02,0.000000e+00,-3.947718e+02,3.947718e+02,3.907553e+02
11,0.000000e+00,0.000000e+00,0.000000e+00,3.844029e+02,0.000000e+00,-3.844029e+02,3.844029e+02,3.803919e+02
12,0.000000e+00,0.000000e+00,0.000000e+00,3.740486e+02,0.000000e+00,-3.740486e+02,3.740486e+02,3.700444e+02
13,0.000000e+00,0.000000e+00,0.000000e+00,3.637119e+02,0.000000e+00,-3.637119e+02,3.637119e+02,3.597155e+02
14,0.000000e+00,0.000000e+00,0.000000e+00,3.533957e+02,0.000000e+00,-3.533957e+02,3.533957e+02,3.494083e+02
15,0.000000e+00,0.000000e+00,0.000000e+00,3.431033e+02,0.000000e+00,-3.431033e+02,3.431033e+02,3.391263e+02
16,0.000000e+00,0.000000e+00,0.000000e+00,3.328382e+02,0.000000e+00,-3.328382e+02,3.328382e+02,3.288730e+02
17,0.000000e+00,0.000000e+00,0.000000e+00,3.226040e+02,0.000000e+00,-3.226040e+02,3.226040e+02,3.186521e+02
