Condensed DOF,Value
0,0.000000000000e+00
1,-3.656996640943e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-3.550053806118e-05
6,0.000000000000e+00
7,-1.283919957327e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-7.072264052972e-05
12,0.000000000000e+00
13,-2.750310323563e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.056663074056e-04
18,0.000000000000e+00
19,-4.760520206668e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.403315386889e-04
24,0.000000000000e+00
25,-7.310199050506e-06
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.747183343795e-04
30,0.000000000000e+00
31,-1.039499629894e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-2.088266944775e-04
36,0.000000000000e+00
37,-1.401056139584e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-2.426566189829e-04
42,0.000000000000e+00
43,-1.815254378507e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-2.762081078956e-04
48,0.000000000000e+00
49,-2.281659291050e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-3.094811612157e-04
54,0.000000000000e+00
55,-2.799835821598e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-3.424757789431e-04
60,0.000000000000e+00
61,-3.369348914538e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.751919610779e-04
66,0.000000000000e+00
67,-3.989763514258e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-4.076297076200e-04
72,0.000000000000e+00
73,-4.660644565142e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-4.397890185696e-04
78,0.000000000000e+00
79,-5.381557011579e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-4.716698939264e-04
84,0.000000000000e+00
85,-6.152065797954e-05
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-5.032723336907e-04
90,0.000000000000e+00
91,-6.971735868654e-05
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-5.345963378623e-04
96,0.000000000000e+00
97,-7.840132168065e-05
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-5.656419064413e-04
102,0.000000000000e+00
103,-8.756819640574e-05
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-5.964090394276e-04
108,0.000000000000e+00
109,-9.721363230568e-05
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-6.268977368213e-04
114,0.000000000000e+00
115,-1.073332788243e-04
