N,Vy,Vz,T,My,Mz
0.000000000000e+00,-2.069567539042e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.960937500185e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.921875000184e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.843750000182e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.765625000180e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.687500000178e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.609375000176e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.531250000174e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.453125000172e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.375000000171e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.296875000169e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.218750000167e+02
0.000000000000e+00,-4.938448331925e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.140625000165e+02
0.000000000000e+00,-4.938448331924e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.062500000163e+02
0.000000000000e+00,-4.938448331924e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.984375000161e+02
0.000000000000e+00,-4.938448331924e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.906250000159e+02
0.000000000000e+00,-4.938448331924e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.828125000157e+02
0.000000000000e+00,-4.938448331924e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.750000000155e+02
0.000000000000e+00,-4.938448331924e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.671875000154e+02
0.000000000000e+00,-4.938448331924e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.593750000152e+02
0.000000000000e+00,-4.938448331923e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.515625000150e+02
0.000000000000e+00,-4.938448331923e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.437500000148e+02
0.000000000000e+00,-4.938448331922e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.359375000146e+02
0.000000000000e+00,-4.938448331922e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.281250000144e+02
0.000000000000e+00,-4.938448331923e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.203125000142e+02
