# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.960937500185e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.882812500183e+02
0.000000000000e+00,-5.000000000122e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.804687500181e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.726562500179e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.648437500177e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.570312500175e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.492187500173e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.414062500172e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.335937500170e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.257812500168e+02
0.000000000000e+00,-5.000000000123e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.179687500166e+02
0.000000000000e+00,-5.000000000122e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.101562500164e+02
0.000000000000e+00,-5.000000000122e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.023437500162e+02
0.000000000000e+00,-5.000000000122e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.945312500160e+02
0.000000000000e+00,-5.000000000121e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.867187500158e+02
0.000000000000e+00,-5.000000000122e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.789062500156e+02
0.000000000000e+00,-5.000000000121e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.710937500155e+02
0.000000000000e+00,-5.000000000122e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.632812500153e+02
0.000000000000e+00,-5.000000000121e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.554687500151e+02
0.000000000000e+00,-5.000000000121e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.476562500149e+02
0.000000000000e+00,-5.000000000121e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.398437500147e+02
0.000000000000e+00,-5.000000000119e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.320312500145e+02
