Global DOF,Value
0,0.000000000000e+00
1,-5.000000000007e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.000000000001e+03
6,0.000000000000e+00
7,3.637978807092e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,2.842170943040e-13
12,0.000000000000e+00
13,-7.275957614183e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-7.958078640513e-13
18,0.000000000000e+00
19,7.275957614183e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.136868377216e-12
24,0.000000000000e+00
25,3.637978807092e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.250555214938e-12
30,0.000000000000e+00
31,-6.548361852765e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,2.046363078989e-12
36,0.000000000000e+00
37,5.820766091347e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-3.410605131648e-12
42,0.000000000000e+00
43,1.018634065986e-10
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,4.547473508865e-13
48,0.000000000000e+00
49,1.600710675120e-10
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,2.273736754432e-13
54,0.000000000000e+00
55,-2.328306436539e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.250555214938e-11
60,0.000000000000e+00
61,3.783497959375e-10
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.864464138635e-11
66,0.000000000000e+00
67,3.201421350241e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-5.229594535194e-12
72,0.000000000000e+00
73,4.365574568510e-11
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,2.728484105319e-12
78,0.000000000000e+00
79,1.309672370553e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,2.728484105319e-12
84,0.000000000000e+00
85,1.746229827404e-10
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,8.867573342286e-12
90,0.000000000000e+00
91,-4.947651177645e-10
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-2.705746737774e-11
96,0.000000000000e+00
97,2.619344741106e-10
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,7.275957614183e-12
