Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.796982042708e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.762081078907e-04
12,0.000000000000e+00
13,-6.935191196998e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.345963378530e-04
18,0.000000000000e+00
19,-1.519187898876e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-7.751646898869e-04
24,0.000000000000e+00
25,-2.634429694390e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-9.979131639923e-04
30,0.000000000000e+00
31,-4.016969658830e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.202841760169e-03
36,0.000000000000e+00
37,-5.644532944786e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.389950478418e-03
42,0.000000000000e+00
43,-7.494844704847e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.559239318738e-03
48,0.000000000000e+00
49,-9.545630091604e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.710708281129e-03
54,0.000000000000e+00
55,-1.177461425764e-03
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.844357365593e-03
60,0.000000000000e+00
61,-1.415952235556e-03
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.960186572127e-03
66,0.000000000000e+00
67,-1.667807953794e-03
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-2.058195900734e-03
72,0.000000000000e+00
73,-1.930801095737e-03
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-2.138385351412e-03
78,0.000000000000e+00
79,-2.202704176644e-03
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-2.200754924161e-03
84,0.000000000000e+00
85,-2.481289711774e-03
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-2.245304618982e-03
90,-0.000000000000e+00
91,-2.764330216387e-03
92,-0.000000000000e+00
93,-0.000000000000e+00
94,-0.000000000000e+00
95,-2.272034435875e-03
96,0.000000000000e+00
97,-3.049598205740e-03
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-2.280944374839e-03
