element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,9.959259e+03,0.000000e+00,9.687500e+02,9.959259e+03,-9.959259e+03,1.727712e+04,1.137488e+04
1,0.000000e+00,9.348984e+03,0.000000e+00,9.062500e+02,9.348984e+03,-9.348984e+03,1.621826e+04,1.065367e+04
2,0.000000e+00,8.738710e+03,0.000000e+00,8.437500e+02,8.738710e+03,-8.738710e+03,1.515939e+04,9.932951e+03
3,0.000000e+00,8.128435e+03,0.000000e+00,7.812500e+02,8.128435e+03,-8.128435e+03,1.410052e+04,9.212789e+03
4,0.000000e+00,7.518160e+03,0.000000e+00,7.187500e+02,7.518160e+03,-7.518160e+03,1.304166e+04,8.493243e+03
5,0.000000e+00,6.907885e+03,0.000000e+00,6.562500e+02,6.907885e+03,-6.907885e+03,1.198279e+04,7.774385e+03
6,0.000000e+00,6.297610e+03,0.000000e+00,5.937500e+02,6.297610e+03,-6.297610e+03,1.092393e+04,7.056290e+03
7,0.000000e+00,5.687336e+03,0.000000e+00,5.312500e+02,5.687336e+03,-5.687336e+03,9.865069e+03,6.339040e+03
8,0.000000e+00,5.077061e+03,0.000000e+00,4.687500e+02,5.077061e+03,-5.077061e+03,8.806212e+03,5.622725e+03
9,0.000000e+00,4.466786e+03,0.000000e+00,4.062500e+02,4.466786e+03,-4.466786e+03,7.747359e+03,4.907437e+03
10,0.000000e+00,3.856511e+03,0.000000e+00,3.437500e+02,3.856511e+03,-3.856511e+03,6.688513e+03,4.193272e+03
11,0.000000e+00,3.246237e+03,0.000000e+00,2.812500e+02,3.246237e+03,-3.246237e+03,5.629676e+03,3.480325e+03
12,0.000000e+00,2.635962e+03,0.000000e+00,2.187500e+02,2.635962e+03,-2.635962e+03,4.570857e+03,2.768694e+03
13,0.000000e+00,2.025687e+03,0.000000e+00,1.562500e+02,2.025687e+03,-2.025687e+03,3.512070e+03,2.058493e+03
14,0.000000e+00,1.415412e+03,0.000000e+00,9.375000e+01,1.415412e+03,-1.415412e+03,2.453358e+03,1.350013e+03
15,0.000000e+00,8.051374e+02,0.000000e+00,3.125000e+01,8.051374e+02,-8.051374e+02,1.394889e+03,8.668112e+02
