Row (Global DOF),Column (Global DOF),K Value
0,0,1.000000000000e+36
1,1,1.000000000000e+36
2,2,1.000000000000e+36
3,3,1.000000000000e+36
4,4,1.000000000000e+36
5,5,1.000000000000e+36
6,6,8.803200000000e+09
6,12,-4.401600000000e+09
7,7,2.829600000000e+09
7,11,0.000000000000e+00
7,13,-1.414800000000e+09
7,17,4.421250000000e+07
8,8,2.829600000000e+09
8,10,0.000000000000e+00
8,14,-1.414800000000e+09
8,16,-4.421250000000e+07
9,9,6.756644160000e+04
9,15,-3.378322080000e+04
10,8,0.000000000000e+00
10,10,4.936529250000e+06
10,14,4.421250000000e+07
10,16,2.950166250000e+05
11,7,0.000000000000e+00
11,11,1.679255805000e+07
11,13,-4.421250000000e+07
11,17,-5.632997775000e+06
12,6,-4.401600000000e+09
12,12,8.803200000000e+09
12,18,-4.401600000000e+09
13,7,-1.414800000000e+09
13,11,-4.421250000000e+07
13,13,2.829600000000e+09
13,17,0.000000000000e+00
13,19,-1.414800000000e+09
13,23,4.421250000000e+07
14,8,-1.414800000000e+09
14,10,4.421250000000e+07
14,14,2.829600000000e+09
14,16,0.000000000000e+00
14,20,-1.414800000000e+09
14,22,-4.421250000000e+07
15,9,-3.378322080000e+04
15,15,6.756644160000e+04
15,21,-3.378322080000e+04
16,8,-4.421250000000e+07
16,10,2.950166250000e+05
16,14,0.000000000000e+00
16,16,4.936529250000e+06
16,20,4.421250000000e+07
16,22,2.950166250000e+05
17,7,4.421250000000e+07
17,11,-5.632997775000e+06
17,13,0.000000000000e+00
17,17,1.679255805000e+07
17,19,-4.421250000000e+07
17,23,-5.632997775000e+06
18,12,-4.401600000000e+09
18,18,8.803200000000e+09
18,24,-4.401600000000e+09
19,13,-1.414800000000e+09
19,17,-4.421250000000e+07
19,19,2.829600000000e+09
19,23,0.000000000000e+00
19,25,-1.414800000000e+09
19,29,4.421250000000e+07
20,14,-1.414800000000e+09
20,16,4.421250000000e+07
20,20,2.829600000000e+09
20,22,0.000000000000e+00
20,26,-1.414800000000e+09
20,28,-4.421250000000e+07
21,15,-3.378322080000e+04
21,21,6.756644160000e+04
21,27,-3.378322080000e+04
22,14,-4.421250000000e+07
22,16,2.950166250000e+05
22,20,0.000000000000e+00
22,22,4.936529250000e+06
22,26,4.421250000000e+07
22,28,2.950166250000e+05
23,13,4.421250000000e+07
23,17,-5.632997775000e+06
23,19,0.000000000000e+00
23,23,1.679255805000e+07
23,25,-4.421250000000e+07
23,29,-5.632997775000e+06
24,18,-4.401600000000e+09
24,24,8.803200000000e+09
24,30,-4.401600000000e+09
25,19,-1.414800000000e+09
25,23,-4.421250000000e+07
25,25,2.829600000000e+09
25,29,0.000000000000e+00
25,31,-1.414800000000e+09
25,35,4.421250000000e+07
26,20,-1.414800000000e+09
26,22,4.421250000000e+07
26,26,2.829600000000e+09
26,28,0.000000000000e+00
26,32,-1.414800000000e+09
26,34,-4.421250000000e+07
27,21,-3.378322080000e+04
27,27,6.756644160000e+04
27,33,-3.378322080000e+04
28,20,-4.421250000000e+07
28,22,2.950166250000e+05
28,26,0.000000000000e+00
28,28,4.936529250000e+06
28,32,4.421250000000e+07
28,34,2.950166250000e+05
29,19,4.421250000000e+07
29,23,-5.632997775000e+06
29,25,0.000000000000e+00
29,29,1.679255805000e+07
29,31,-4.421250000000e+07
29,35,-5.632997775000e+06
30,24,-4.401600000000e+09
30,30,8.803200000000e+09
30,36,-4.401600000000e+09
31,25,-1.414800000000e+09
31,29,-4.421250000000e+07
31,31,2.829600000000e+09
31,35,0.000000000000e+00
31,37,-1.414800000000e+09
31,41,4.421250000000e+07
32,26,-1.414800000000e+09
32,28,4.421250000000e+07
32,32,2.829600000000e+09
32,34,0.000000000000e+00
32,38,-1.414800000000e+09
32,40,-4.421250000000e+07
33,27,-3.378322080000e+04
33,33,6.756644160000e+04
33,39,-3.378322080000e+04
34,26,-4.421250000000e+07
34,28,2.950166250000e+05
34,32,0.000000000000e+00
34,34,4.936529250000e+06
34,38,4.421250000000e+07
34,40,2.950166250000e+05
35,25,4.421250000000e+07
35,29,-5.632997775000e+06
35,31,0.000000000000e+00
35,35,1.679255805000e+07
35,37,-4.421250000000e+07
35,41,-5.632997775000e+06
36,30,-4.401600000000e+09
36,36,8.803200000000e+09
36,42,-4.401600000000e+09
37,31,-1.414800000000e+09
37,35,-4.421250000000e+07
37,37,2.829600000000e+09
37,41,0.000000000000e+00
37,43,-1.414800000000e+09
37,47,4.421250000000e+07
38,32,-1.414800000000e+09
38,34,4.421250000000e+07
38,38,2.829600000000e+09
38,40,0.000000000000e+00
38,44,-1.414800000000e+09
38,46,-4.421250000000e+07
39,33,-3.378322080000e+04
39,39,6.756644160000e+04
39,45,-3.378322080000e+04
40,32,-4.421250000000e+07
40,34,2.950166250000e+05
40,38,0.000000000000e+00
40,40,4.936529250000e+06
40,44,4.421250000000e+07
40,46,2.950166250000e+05
41,31,4.421250000000e+07
41,35,-5.632997775000e+06
41,37,0.000000000000e+00
41,41,1.679255805000e+07
41,43,-4.421250000000e+07
41,47,-5.632997775000e+06
42,36,-4.401600000000e+09
42,42,8.803200000000e+09
42,48,-4.401600000000e+09
43,37,-1.414800000000e+09
43,41,-4.421250000000e+07
43,43,2.829600000000e+09
43,47,0.000000000000e+00
43,49,-1.414800000000e+09
43,53,4.421250000000e+07
44,38,-1.414800000000e+09
44,40,4.421250000000e+07
44,44,2.829600000000e+09
44,46,0.000000000000e+00
44,50,-1.414800000000e+09
44,52,-4.421250000000e+07
45,39,-3.378322080000e+04
45,45,6.756644160000e+04
45,51,-3.378322080000e+04
46,38,-4.421250000000e+07
46,40,2.950166250000e+05
46,44,0.000000000000e+00
46,46,4.936529250000e+06
46,50,4.421250000000e+07
46,52,2.950166250000e+05
47,37,4.421250000000e+07
47,41,-5.632997775000e+06
47,43,0.000000000000e+00
47,47,1.679255805000e+07
47,49,-4.421250000000e+07
47,53,-5.632997775000e+06
48,42,-4.401600000000e+09
48,48,8.803200000000e+09
48,54,-4.401600000000e+09
49,43,-1.414800000000e+09
49,47,-4.421250000000e+07
49,49,2.829600000000e+09
49,53,0.000000000000e+00
49,55,-1.414800000000e+09
49,59,4.421250000000e+07
50,44,-1.414800000000e+09
50,46,4.421250000000e+07
50,50,2.829600000000e+09
50,52,0.000000000000e+00
50,56,-1.414800000000e+09
50,58,-4.421250000000e+07
51,45,-3.378322080000e+04
51,51,6.756644160000e+04
