Global DOF,Value
0,0.000000000000e+00
1,-4.999999999992e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-9.999999999985e+02
6,0.000000000000e+00
7,0.000000000000e+00
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,2.273736754432e-13
12,0.000000000000e+00
13,0.000000000000e+00
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-4.547473508865e-13
18,0.000000000000e+00
19,-7.275957614183e-12
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-1.091393642128e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,1.818989403546e-12
30,0.000000000000e+00
31,8.003553375602e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,0.000000000000e+00
36,0.000000000000e+00
37,-5.820766091347e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,1.818989403546e-12
42,0.000000000000e+00
43,8.003553375602e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,9.094947017729e-13
48,0.000000000000e+00
49,-7.275957614183e-12
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,5.456968210638e-12
54,0.000000000000e+00
55,-1.164153218269e-10
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-7.275957614183e-12
60,0.000000000000e+00
61,5.820766091347e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.637978807092e-12
66,0.000000000000e+00
67,1.527951098979e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,7.275957614183e-12
72,0.000000000000e+00
73,-3.929017111659e-10
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,5.456968210638e-12
78,0.000000000000e+00
79,2.473825588822e-10
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,0.000000000000e+00
84,0.000000000000e+00
85,-1.746229827404e-10
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,9.094947017729e-12
90,0.000000000000e+00
91,-2.182787284255e-10
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,0.000000000000e+00
96,0.000000000000e+00
97,4.365574568510e-11
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-5.456968210638e-12
102,0.000000000000e+00
103,2.910383045673e-11
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,1.818989403546e-12
108,0.000000000000e+00
109,2.910383045673e-11
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,1.818989403546e-12
114,0.000000000000e+00
115,-6.402842700481e-10
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-2.910383045673e-11
120,0.000000000000e+00
121,8.003553375602e-10
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-1.637090463191e-11
126,0.000000000000e+00
127,-3.492459654808e-10
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-3.637978807092e-12
132,0.000000000000e+00
133,2.182787284255e-10
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-2.182787284255e-11
138,0.000000000000e+00
139,8.440110832453e-10
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,1.818989403546e-11
144,0.000000000000e+00
145,6.839400157332e-10
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,3.637978807092e-11
150,0.000000000000e+00
151,-1.135049387813e-09
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-7.275957614183e-12
156,0.000000000000e+00
157,5.093170329928e-10
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-9.094947017729e-12
162,0.000000000000e+00
163,4.656612873077e-10
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,2.000888343900e-11
168,0.000000000000e+00
169,-1.702574081719e-09
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-3.819877747446e-11
174,0.000000000000e+00
175,8.149072527885e-10
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-3.637978807092e-11
180,0.000000000000e+00
181,5.529727786779e-10
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,1.818989403546e-11
186,0.000000000000e+00
187,-1.688022166491e-09
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,1.091393642128e-11
192,0.000000000000e+00
193,-1.746229827404e-10
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-1.455191522837e-11
