Condensed DOF,Value
0,0.000000000000e+00
1,-4.738767425896e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.403315386861e-04
6,0.000000000000e+00
7,-1.810903822336e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.762081078901e-04
12,0.000000000000e+00
13,-3.983237679975e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-4.076297076120e-04
18,0.000000000000e+00
19,-6.963034756245e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-5.345963378518e-04
24,0.000000000000e+00
25,-1.072245149188e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-6.571079986095e-04
30,0.000000000000e+00
31,-1.523364432762e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-7.751646898851e-04
36,0.000000000000e+00
37,-2.046876970421e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-8.887664116786e-04
42,0.000000000000e+00
43,-2.639998406237e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-9.979131639900e-04
48,0.000000000000e+00
49,-3.299944384284e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.102604946819e-03
54,0.000000000000e+00
55,-4.023930548637e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.202841760167e-03
60,0.000000000000e+00
61,-4.809172543368e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.298623604032e-03
66,0.000000000000e+00
67,-5.652886012552e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.389950478415e-03
72,0.000000000000e+00
73,-6.552286600262e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.476822383316e-03
78,0.000000000000e+00
79,-7.504589950573e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.559239318734e-03
84,0.000000000000e+00
85,-8.507011707556e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-1.637201284671e-03
90,0.000000000000e+00
91,-9.556767515288e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.710708281126e-03
96,0.000000000000e+00
97,-1.065107301784e-03
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-1.779760308098e-03
102,0.000000000000e+00
103,-1.178714385929e-03
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-1.844357365589e-03
108,0.000000000000e+00
109,-1.296219568370e-03
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-1.904499453597e-03
114,0.000000000000e+00
115,-1.417344413516e-03
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-1.960186572123e-03
120,0.000000000000e+00
121,-1.541810485773e-03
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-2.011418721167e-03
126,0.000000000000e+00
127,-1.669339349549e-03
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-2.058195900729e-03
132,0.000000000000e+00
133,-1.799652569252e-03
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-2.100518110809e-03
138,0.000000000000e+00
139,-1.932471709288e-03
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-2.138385351407e-03
144,0.000000000000e+00
145,-2.067518334065e-03
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-2.171797622523e-03
150,0.000000000000e+00
151,-2.204514007991e-03
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-2.200754924157e-03
156,0.000000000000e+00
157,-2.343180295473e-03
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-2.225257256308e-03
162,0.000000000000e+00
163,-2.483238760917e-03
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-2.245304618978e-03
168,0.000000000000e+00
169,-2.624410968732e-03
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-2.260897012165e-03
174,0.000000000000e+00
175,-2.766418483325e-03
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-2.272034435870e-03
180,-0.000000000000e+00
181,-2.908982869104e-03
182,-0.000000000000e+00
183,-0.000000000000e+00
184,-0.000000000000e+00
185,-2.278716890093e-03
186,0.000000000000e+00
187,-3.051825690475e-03
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-2.280944374834e-03
