# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.843749999985e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.531249999986e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.218749999986e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.906249999987e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.593749999987e+02
0.000000000000e+00,-4.999999999991e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.281249999988e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.968749999989e+02
0.000000000000e+00,-4.999999999991e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.656249999989e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.343749999990e+02
0.000000000000e+00,-4.999999999993e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.031249999990e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.718749999991e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.406249999991e+02
0.000000000000e+00,-4.999999999996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.093749999992e+02
0.000000000000e+00,-4.999999999993e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.781249999992e+02
0.000000000000e+00,-4.999999999994e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.468749999992e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.156249999993e+02
0.000000000000e+00,-4.999999999994e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.843749999993e+02
0.000000000000e+00,-4.999999999996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.531249999994e+02
0.000000000000e+00,-4.999999999996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.218749999994e+02
0.000000000000e+00,-5.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.906249999994e+02
0.000000000000e+00,-4.999999999995e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.593749999995e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.281249999995e+02
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.968749999995e+02
0.000000000000e+00,-4.999999999989e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.656249999996e+02
0.000000000000e+00,-4.999999999984e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.343749999996e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.031249999997e+02
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.718749999998e+02
0.000000000000e+00,-4.999999999990e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.406249999998e+02
0.000000000000e+00,-5.000000000001e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.093749999999e+02
0.000000000000e+00,-4.999999999996e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.812499999995e+01
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687499999998e+01
0.000000000000e+00,-5.000000000001e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562499999999e+01
