# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.999999999992e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.843749999985e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.687499999986e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.374999999986e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.062499999987e+02
0.000000000000e+00,-4.015173308855e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.749999999987e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.437499999988e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.124999999988e+02
0.000000000000e+00,-4.015173308855e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.812499999989e+02
0.000000000000e+00,-4.015173308855e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.499999999989e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.187499999990e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.874999999991e+02
0.000000000000e+00,-4.015173308855e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.562499999991e+02
0.000000000000e+00,-4.015173308857e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.249999999991e+02
0.000000000000e+00,-4.015173308858e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.937499999992e+02
0.000000000000e+00,-4.015173308857e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.624999999992e+02
0.000000000000e+00,-4.015173308856e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.312499999993e+02
0.000000000000e+00,-4.015173308858e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.999999999993e+02
0.000000000000e+00,-4.015173308857e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687499999993e+02
0.000000000000e+00,-4.015173308860e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.374999999994e+02
0.000000000000e+00,-4.015173308863e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.062499999994e+02
0.000000000000e+00,-4.015173308860e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.749999999994e+02
0.000000000000e+00,-4.015173308860e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.437499999995e+02
0.000000000000e+00,-4.015173308862e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.124999999995e+02
0.000000000000e+00,-4.015173308858e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.812499999996e+02
0.000000000000e+00,-4.015173308850e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.499999999996e+02
0.000000000000e+00,-4.015173308853e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.187499999997e+02
0.000000000000e+00,-4.015173308859e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.874999999997e+02
0.000000000000e+00,-4.015173308852e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562499999998e+02
0.000000000000e+00,-4.015173308860e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.249999999999e+02
0.000000000000e+00,-4.015173308863e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.374999999992e+01
0.000000000000e+00,-4.015173308859e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.249999999996e+01
0.000000000000e+00,-4.015173308855e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.124999999999e+01
0.000000000000e+00,-5.000000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562499999999e+01
