element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,5.305914e+03,0.000000e+00,9.843750e+02,5.305914e+03,-5.305914e+03,9.242681e+03,6.025510e+03
1,0.000000e+00,5.153345e+03,0.000000e+00,9.531250e+02,5.153345e+03,-5.153345e+03,8.976600e+03,5.840359e+03
2,0.000000e+00,5.000777e+03,0.000000e+00,9.218750e+02,5.000777e+03,-5.000777e+03,8.710520e+03,5.655324e+03
3,0.000000e+00,4.848208e+03,0.000000e+00,8.906250e+02,4.848208e+03,-4.848208e+03,8.444440e+03,5.470411e+03
4,0.000000e+00,4.695639e+03,0.000000e+00,8.593750e+02,4.695639e+03,-4.695639e+03,8.178362e+03,5.285626e+03
5,0.000000e+00,4.543070e+03,0.000000e+00,8.281250e+02,4.543070e+03,-4.543070e+03,7.912285e+03,5.100977e+03
6,0.000000e+00,4.390502e+03,0.000000e+00,7.968750e+02,4.390502e+03,-4.390502e+03,7.646210e+03,4.916472e+03
7,0.000000e+00,4.237933e+03,0.000000e+00,7.656250e+02,4.237933e+03,-4.237933e+03,7.380136e+03,4.732118e+03
8,0.000000e+00,4.085364e+03,0.000000e+00,7.343750e+02,4.085364e+03,-4.085364e+03,7.114064e+03,4.547924e+03
9,0.000000e+00,3.932796e+03,0.000000e+00,7.031250e+02,3.932796e+03,-3.932796e+03,6.847995e+03,4.363899e+03
10,0.000000e+00,3.780227e+03,0.000000e+00,6.718750e+02,3.780227e+03,-3.780227e+03,6.581927e+03,4.180053e+03
11,0.000000e+00,3.627658e+03,0.000000e+00,6.406250e+02,3.627658e+03,-3.627658e+03,6.315862e+03,3.996395e+03
12,0.000000e+00,3.475090e+03,0.000000e+00,6.093750e+02,3.475090e+03,-3.475090e+03,6.049800e+03,3.812936e+03
13,0.000000e+00,3.322521e+03,0.000000e+00,5.781250e+02,3.322521e+03,-3.322521e+03,5.783741e+03,3.629686e+03
14,0.000000e+00,3.169952e+03,0.000000e+00,5.468750e+02,3.169952e+03,-3.169952e+03,5.517686e+03,3.446658e+03
15,0.000000e+00,3.017383e+03,0.000000e+00,5.156250e+02,3.017383e+03,-3.017383e+03,5.251636e+03,3.263863e+03
16,0.000000e+00,2.864815e+03,0.000000e+00,4.843750e+02,2.864815e+03,-2.864815e+03,4.985590e+03,3.081314e+03
17,0.000000e+00,2.712246e+03,0.000000e+00,4.531250e+02,2.712246e+03,-2.712246e+03,4.719551e+03,2.899023e+03
18,0.000000e+00,2.559677e+03,0.000000e+00,4.218750e+02,2.559677e+03,-2.559677e+03,4.453518e+03,2.717006e+03
19,0.000000e+00,2.407109e+03,0.000000e+00,3.906250e+02,2.407109e+03,-2.407109e+03,4.187494e+03,2.535276e+03
20,0.000000e+00,2.254540e+03,0.000000e+00,3.593750e+02,2.254540e+03,-2.254540e+03,3.921480e+03,2.353851e+03
21,0.000000e+00,2.101971e+03,0.000000e+00,3.281250e+02,2.101971e+03,-2.101971e+03,3.655478e+03,2.172750e+03
22,0.000000e+00,1.949403e+03,0.000000e+00,2.968750e+02,1.949403e+03,-1.949403e+03,3.389491e+03,1.991995e+03
23,0.000000e+00,1.796834e+03,0.000000e+00,2.656250e+02,1.796834e+03,-1.796834e+03,3.123523e+03,1.811618e+03
24,0.000000e+00,1.644265e+03,0.000000e+00,2.343750e+02,1.644265e+03,-1.644265e+03,2.857579e+03,1.631669e+03
25,0.000000e+00,1.491697e+03,0.000000e+00,2.031250e+02,1.491697e+03,-1.491697e+03,2.591667e+03,1.452242e+03
26,0.000000e+00,1.339128e+03,0.000000e+00,1.718750e+02,1.339128e+03,-1.339128e+03,2.325797e+03,1.273576e+03
27,0.000000e+00,1.186559e+03,0.000000e+00,1.406250e+02,1.186559e+03,-1.186559e+03,2.059986e+03,1.096586e+03
28,0.000000e+00,1.033990e+03,0.000000e+00,1.093750e+02,1.033990e+03,-1.033990e+03,1.794261e+03,9.304596e+02
29,0.000000e+00,8.814217e+02,0.000000e+00,7.812500e+01,8.814217e+02,-8.814217e+02,1.528665e+03,8.726492e+02
30,0.000000e+00,7.288530e+02,0.000000e+00,4.687500e+01,7.288530e+02,-7.288530e+02,1.263280e+03,8.675158e+02
31,0.000000e+00,5.762843e+02,0.000000e+00,1.562500e+01,5.762843e+02,-5.762843e+02,9.982761e+02,8.661686e+02
