Global DOF,Value
0,0.000000000000e+00
1,-5.000000000066e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-1.000000000010e+03
6,0.000000000000e+00
7,3.637978807092e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-2.273736754432e-13
12,0.000000000000e+00
13,-7.275957614183e-12
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-9.094947017729e-13
18,0.000000000000e+00
19,2.910383045673e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.364242052659e-12
24,0.000000000000e+00
25,-2.364686224610e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-2.728484105319e-12
30,0.000000000000e+00
31,-2.182787284255e-11
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,0.000000000000e+00
36,0.000000000000e+00
37,3.274180926383e-11
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.547473508865e-12
42,0.000000000000e+00
43,8.731149137020e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-3.637978807092e-12
48,0.000000000000e+00
49,-6.184563972056e-11
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,1.818989403546e-12
54,0.000000000000e+00
55,-2.546585164964e-11
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.818989403546e-12
60,0.000000000000e+00
61,7.639755494893e-11
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.818989403546e-12
66,0.000000000000e+00
67,-1.018634065986e-10
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,0.000000000000e+00
72,0.000000000000e+00
73,2.182787284255e-11
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-5.456968210638e-12
78,0.000000000000e+00
79,8.731149137020e-11
80,0.000000000000e+00
