Condensed DOF,Value
0,0.000000000000e+00
1,-1.281744679249e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-7.072264052915e-05
6,0.000000000000e+00
7,-4.756169650493e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.403315386878e-04
12,0.000000000000e+00
13,-1.038847046466e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.088266944758e-04
18,0.000000000000e+00
19,-1.814384267265e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.762081078934e-04
24,0.000000000000e+00
25,-2.798748182541e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.424757789404e-04
30,0.000000000000e+00
31,-3.988458347385e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-4.076297076168e-04
36,0.000000000000e+00
37,-5.380034316888e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-4.716698939227e-04
42,0.000000000000e+00
43,-6.969995646144e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-5.345963378581e-04
48,0.000000000000e+00
49,-8.754861890243e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.964090394229e-04
54,0.000000000000e+00
55,-1.073115260428e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-6.571079986172e-04
60,0.000000000000e+00
61,-1.289538734334e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-7.166932154409e-04
66,0.000000000000e+00
67,-1.524408566253e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-7.751646898941e-04
72,0.000000000000e+00
73,-1.777376711692e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-8.325224219768e-04
78,0.000000000000e+00
79,-2.048095126162e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-8.887664116889e-04
84,0.000000000000e+00
85,-2.336215765172e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-9.438966590305e-04
90,0.000000000000e+00
91,-2.641390584231e-04
