element_id,total_strain_energy
0,3.570511419728e-02
1,3.459077896729e-02
2,3.349413159810e-02
3,3.241517208970e-02
4,3.135390044210e-02
5,3.031031665529e-02
6,2.928442072927e-02
7,2.827621266404e-02
8,2.728569245961e-02
9,2.631286011598e-02
10,2.535771563313e-02
11,2.442025901108e-02
12,2.350049024982e-02
13,2.259840934936e-02
14,2.171401630969e-02
15,2.084731113081e-02
16,1.999829381273e-02
17,1.916696435544e-02
18,1.835332275895e-02
19,1.755736902324e-02
20,1.677910314833e-02
21,1.601852513422e-02
22,1.527563498090e-02
23,1.455043268837e-02
24,1.384291825663e-02
25,1.315309168569e-02
26,1.248095297554e-02
27,1.182650212619e-02
28,1.118973913762e-02
29,1.057066400986e-02
30,9.969276742880e-03
31,9.385577336698e-03
32,8.819565791310e-03
33,8.271242106715e-03
34,7.740606282915e-03
35,7.227658319908e-03
36,6.732398217695e-03
37,6.254825976275e-03
38,5.794941595649e-03
39,5.352745075816e-03
40,4.928236416777e-03
41,4.521415618531e-03
42,4.132282681078e-03
43,3.760837604419e-03
44,3.407080388553e-03
45,3.071011033482e-03
46,2.752629539203e-03
47,2.451935905718e-03
48,2.168930133026e-03
49,1.903612221127e-03
50,1.655982170022e-03
51,1.426039979710e-03
52,1.213785650191e-03
53,1.019219181467e-03
54,8.423405735354e-04
55,6.831498263969e-04
56,5.416469400521e-04
57,4.178319145001e-04
58,3.117047497410e-04
59,2.232654457752e-04
60,1.525140026024e-04
61,9.945042022346e-05
62,6.407469863705e-05
63,4.638683784373e-05
