Global DOF,Value
0,0.000000000000e+00
1,-4.999999999999e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-9.999999999999e+02
6,0.000000000000e+00
7,1.455191522837e-11
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,3.183231456205e-12
12,0.000000000000e+00
13,-1.455191522837e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,9.094947017729e-13
18,0.000000000000e+00
19,-1.455191522837e-11
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,0.000000000000e+00
24,0.000000000000e+00
25,-8.731149137020e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-4.547473508865e-12
30,0.000000000000e+00
31,1.309672370553e-10
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.455191522837e-11
36,0.000000000000e+00
37,0.000000000000e+00
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.637090463191e-11
42,0.000000000000e+00
43,5.820766091347e-11
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,7.275957614183e-12
48,0.000000000000e+00
49,-5.820766091347e-11
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,7.275957614183e-12
