Condensed DOF,Value
0,0.000000000000e+00
1,-6.823816959939e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.345963378525e-04
6,0.000000000000e+00
7,-2.612154846977e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-9.979131639914e-04
12,0.000000000000e+00
13,-5.611120673665e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.389950478417e-03
18,0.000000000000e+00
19,-9.501080396774e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.710708281128e-03
24,0.000000000000e+00
25,-1.410383523702e-03
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.960186572126e-03
30,0.000000000000e+00
31,-1.924118641512e-03
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-2.138385351410e-03
36,-0.000000000000e+00
37,-2.473493515178e-03
38,-0.000000000000e+00
39,-0.000000000000e+00
40,-0.000000000000e+00
41,-2.245304618981e-03
42,0.000000000000e+00
43,-3.040688266774e-03
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-2.280944374837e-03
