# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.960937500063e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.882812500062e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.804687500062e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.726562500061e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.648437500060e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.570312500060e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.492187500059e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.414062500058e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.335937500058e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.257812500057e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.179687500057e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.101562500056e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.023437500055e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.945312500055e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.867187500054e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.789062500053e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.710937500053e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.632812500052e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.554687500051e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.476562500051e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.398437500050e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.320312500049e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.242187500049e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.164062500048e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.085937500048e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.007812500047e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.929687500046e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.851562500046e+02
0.000000000000e+00,-5.000000000040e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.773437500045e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.695312500044e+02
0.000000000000e+00,-5.000000000040e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.617187500044e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.539062500043e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.460937500042e+02
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.382812500042e+02
0.000000000000e+00,-5.000000000041e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.304687500041e+02
