# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000042e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.960937500063e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.921875000063e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.843750000062e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.765625000061e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687500000061e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.609375000060e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.531250000059e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.453125000059e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.375000000058e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.296875000057e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.218750000057e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.140625000056e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.062500000056e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.984375000055e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.906250000054e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.828125000054e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.750000000053e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.671875000052e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.593750000052e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.515625000051e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.437500000050e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.359375000050e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.281250000049e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.203125000048e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.125000000048e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.046875000047e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.968750000047e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.890625000046e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.812500000045e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.734375000045e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.656250000044e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.578125000043e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.500000000043e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.421875000042e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.343750000041e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.265625000041e+02
0.000000000000e+00,-4.938448331842e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.187500000040e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.109375000039e+02
0.000000000000e+00,-4.938448331846e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.031250000039e+02
0.000000000000e+00,-4.938448331848e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.953125000038e+02
0.000000000000e+00,-4.938448331848e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.875000000037e+02
0.000000000000e+00,-4.938448331847e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.796875000037e+02
0.000000000000e+00,-4.938448331847e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.718750000036e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.640625000035e+02
0.000000000000e+00,-4.938448331845e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562500000035e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.484375000034e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.406250000034e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.328125000033e+02
0.000000000000e+00,-4.938448331843e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.250000000032e+02
0.000000000000e+00,-4.938448331844e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.171875000032e+02
