Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-9.059881462865e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.336490844632e-04
12,0.000000000000e+00
13,-3.371215611311e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-2.494782909980e-04
18,0.000000000000e+00
19,-7.172933920967e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-3.474876196044e-04
24,0.000000000000e+00
25,-1.208839460115e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-4.276770702823e-04
30,0.000000000000e+00
31,-1.789484917776e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-4.900466430319e-04
36,0.000000000000e+00
37,-2.436954917668e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-5.345963378529e-04
42,0.000000000000e+00
43,-3.128974612381e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-5.613261547456e-04
48,0.000000000000e+00
49,-3.843269154505e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-5.702360937098e-04
54,0.000000000000e+00
55,-4.556064271642e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-5.702360937099e-04
60,0.000000000000e+00
61,-5.268859388779e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-5.702360937099e-04
66,0.000000000000e+00
67,-5.981654505917e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-5.702360937099e-04
72,0.000000000000e+00
73,-6.694449623054e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-5.702360937099e-04
78,0.000000000000e+00
79,-7.407244740191e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-5.702360937099e-04
84,0.000000000000e+00
85,-8.120039857329e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-5.702360937099e-04
90,-0.000000000000e+00
91,-8.832834974466e-04
92,-0.000000000000e+00
93,-0.000000000000e+00
94,-0.000000000000e+00
95,-5.702360937099e-04
96,0.000000000000e+00
97,-9.545630091603e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-5.702360937099e-04
