ε_xx,ε_yy,ε_zz,γ_xy,γ_yz,γ_xz
0.000000000000e+00,0.000000000000e+00,-1.069192675706e-03,-7.247905170292e-05,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.979131639921e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.553541405647e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.127951171373e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.702360937098e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.276770702824e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.851180468550e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.425590234276e-04,-1.199539989200e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.563975585702e-05,-5.997699946005e-07,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.314053033052e-16,-6.333258514524e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.020562075079e-17,-3.935334616247e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.767955557623e-17,-3.166629257262e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.382710778155e-17,-8.857233022529e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.951563910474e-17,-1.310223389115e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.084202172486e-17,-3.074821435940e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.127570259385e-17,-5.598795943944e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.561251128379e-17,1.119759188789e-18,0.000000000000e+00,0.000000000000e+00
