N,Vy,Vz,T,My,Mz
0.000000000000e+00,-6.408960146831e+03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687500000003e+02
0.000000000000e+00,-1.060693235449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.375000000003e+02
0.000000000000e+00,-1.060693235449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.750000000002e+02
0.000000000000e+00,-1.060693235449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.125000000002e+02
0.000000000000e+00,-1.060693235450e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.500000000002e+02
0.000000000000e+00,-1.060693235450e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.875000000002e+02
0.000000000000e+00,-1.060693235449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.250000000001e+02
0.000000000000e+00,-1.060693235450e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.250000000010e+01
0.000000000000e+00,-5.303466177255e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562500000008e+01
0.000000000000e+00,-5.600183841468e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.761004290804e-11
0.000000000000e+00,-3.479819634417e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.954748820090e-11
0.000000000000e+00,-2.800091920734e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.528757659000e-11
0.000000000000e+00,-7.832008300171e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.483030807534e-11
0.000000000000e+00,-1.158565031825e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.555946966540e-12
0.000000000000e+00,-2.718910854730e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.753303870300e-12
0.000000000000e+00,-4.950735313433e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.943436025112e-12
0.000000000000e+00,9.901470626866e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.844757573232e-12
