# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000002e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687500000003e+02
0.000000000000e+00,-5.000000000002e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.062500000003e+02
0.000000000000e+00,-5.000000000002e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.437500000002e+02
0.000000000000e+00,-5.000000000002e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.812500000002e+02
0.000000000000e+00,-5.000000000003e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.187500000002e+02
0.000000000000e+00,-5.000000000003e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562500000001e+02
0.000000000000e+00,-5.000000000002e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.375000000012e+01
0.000000000000e+00,-5.000000000002e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.125000000009e+01
0.000000000000e+00,-2.407416713895e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.768704711307e-11
0.000000000000e+00,-1.640452097079e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.753303870300e-11
0.000000000000e+00,-7.669646168162e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.156193769879e-11
0.000000000000e+00,-1.320883506739e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.901321548120e-11
0.000000000000e+00,-1.320883506739e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.064740066947e-11
0.000000000000e+00,-1.533929233632e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.464493263608e-12
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.042114476992e-12
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.844757573232e-12
