element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,5.077061e+03,0.000000e+00,4.687500e+02,5.077061e+03,-5.077061e+03,8.806212e+03,5.622725e+03
1,0.000000e+00,4.466786e+03,0.000000e+00,4.062500e+02,4.466786e+03,-4.466786e+03,7.747359e+03,4.907437e+03
2,0.000000e+00,3.856511e+03,0.000000e+00,3.437500e+02,3.856511e+03,-3.856511e+03,6.688513e+03,4.193272e+03
3,0.000000e+00,3.246237e+03,0.000000e+00,2.812500e+02,3.246237e+03,-3.246237e+03,5.629676e+03,3.480325e+03
4,0.000000e+00,2.635962e+03,0.000000e+00,2.187500e+02,2.635962e+03,-2.635962e+03,4.570857e+03,2.768694e+03
5,0.000000e+00,2.025687e+03,0.000000e+00,1.562500e+02,2.025687e+03,-2.025687e+03,3.512070e+03,2.058493e+03
6,0.000000e+00,1.415412e+03,0.000000e+00,9.375000e+01,1.415412e+03,-1.415412e+03,2.453358e+03,1.350013e+03
7,0.000000e+00,8.051374e+02,0.000000e+00,3.125000e+01,8.051374e+02,-8.051374e+02,1.394889e+03,8.668112e+02
8,0.000000e+00,9.203575e-10,0.000000e+00,6.768705e-11,9.203575e-10,-9.203575e-10,1.595542e-09,9.111789e-10
9,0.000000e+00,6.135717e-10,0.000000e+00,4.753304e-11,6.135717e-10,-6.135717e-10,1.063800e-09,6.003579e-10
10,0.000000e+00,3.834823e-10,0.000000e+00,3.156194e-11,3.834823e-10,-3.834823e-10,6.649603e-10,4.004249e-10
11,0.000000e+00,3.067858e-10,0.000000e+00,1.901322e-11,3.067858e-10,-3.067858e-10,5.317087e-10,3.107561e-10
12,0.000000e+00,2.300894e-10,0.000000e+00,1.064740e-11,2.300894e-10,-2.300894e-10,3.986687e-10,2.250712e-10
13,0.000000e+00,2.300894e-10,0.000000e+00,6.464493e-12,2.300894e-10,-2.300894e-10,3.985789e-10,2.657804e-10
14,0.000000e+00,0.000000e+00,0.000000e+00,3.042114e-12,0.000000e+00,-3.042114e-12,3.042114e-12,3.042114e-12
15,0.000000e+00,7.669646e-11,0.000000e+00,6.844758e-12,7.669646e-11,-7.669646e-11,1.330184e-10,9.096051e-11
