Condensed DOF,Value
0,0.000000000000e+00
1,-2.511282684849e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.905202697255e-05
6,0.000000000000e+00
7,-9.199099259166e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.336490844630e-04
12,0.000000000000e+00
13,-1.978501413032e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.937911724714e-04
18,0.000000000000e+00
19,-3.399059170568e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-2.494782909976e-04
24,0.000000000000e+00
25,-5.153739639262e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-3.007104400418e-04
30,0.000000000000e+00
31,-7.214699259850e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-3.474876196038e-04
36,0.000000000000e+00
37,-9.554094473069e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-3.898098296837e-04
42,0.000000000000e+00
43,-1.214408171966e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-4.276770702816e-04
48,0.000000000000e+00
49,-1.495681744035e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-4.610893413973e-04
54,0.000000000000e+00
55,-1.796445807588e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-4.900466430310e-04
60,0.000000000000e+00
61,-2.113916006699e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-5.145489751825e-04
66,0.000000000000e+00
67,-2.445307985442e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-5.345963378519e-04
72,0.000000000000e+00
73,-2.787837387890e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-5.501887310392e-04
78,0.000000000000e+00
79,-3.138719858117e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-5.613261547445e-04
84,0.000000000000e+00
85,-3.495171040197e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-5.680086089676e-04
90,0.000000000000e+00
91,-3.854406578203e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-5.702360937086e-04
96,0.000000000000e+00
97,-4.210804136771e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-5.702360937086e-04
102,0.000000000000e+00
103,-4.567201695339e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-5.702360937086e-04
108,0.000000000000e+00
109,-4.923599253906e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-5.702360937085e-04
114,0.000000000000e+00
115,-5.279996812474e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-5.702360937085e-04
120,0.000000000000e+00
121,-5.636394371042e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-5.702360937085e-04
126,0.000000000000e+00
127,-5.992791929610e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-5.702360937085e-04
132,0.000000000000e+00
133,-6.349189488178e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-5.702360937084e-04
138,0.000000000000e+00
139,-6.705587046745e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-5.702360937084e-04
144,0.000000000000e+00
145,-7.061984605313e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-5.702360937084e-04
150,0.000000000000e+00
151,-7.418382163881e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-5.702360937084e-04
156,0.000000000000e+00
157,-7.774779722449e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-5.702360937084e-04
162,0.000000000000e+00
163,-8.131177281016e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-5.702360937084e-04
168,0.000000000000e+00
169,-8.487574839584e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-5.702360937084e-04
174,0.000000000000e+00
175,-8.843972398152e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-5.702360937084e-04
180,-0.000000000000e+00
181,-9.200369956720e-04
182,-0.000000000000e+00
183,-0.000000000000e+00
184,-0.000000000000e+00
185,-5.702360937084e-04
186,0.000000000000e+00
187,-9.556767515287e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-5.702360937084e-04
