ε_xx,ε_yy,ε_zz,γ_xy,γ_yz,γ_xz
0.000000000000e+00,0.000000000000e+00,-1.104832431561e-03,-4.018052295758e-05,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.069192675704e-03,-4.540767100774e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.979131639904e-04,-4.540767100774e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.266336522768e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.553541405632e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.840746288495e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.127951171359e-04,-4.540767100774e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-6.415156054223e-04,-4.540767100774e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.702360937086e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.989565819950e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.276770702814e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.563975585677e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.851180468541e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.138385351404e-04,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.425590234268e-04,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.127951171315e-05,-4.540767100775e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.781987792792e-05,-2.270383550387e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,4.727121472037e-16,1.011922027653e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,4.475586568020e-16,1.039464374050e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,4.206704429244e-16,2.186765909236e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,3.929148673087e-16,2.331326198900e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,3.686287386451e-16,2.872844229030e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,3.443426099814e-16,6.149642871879e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,3.131175874138e-16,2.331326198900e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,2.740863092043e-16,1.753085040241e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,2.281161370910e-16,3.672312852900e-20,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.795438797636e-16,2.891205793295e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.318389841742e-16,2.638808342494e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,8.760353553683e-17,3.074821435940e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,5.030698080333e-17,3.074821435940e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,2.341876692569e-17,2.620446778230e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,6.071532165919e-18,1.734723475977e-18,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
