# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.843749999995e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.531249999995e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.218749999996e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.906249999996e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.593749999996e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.281249999996e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.968749999996e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.656249999996e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.343749999997e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.031249999997e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.718749999997e+02
0.000000000000e+00,-4.999999999997e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.406249999997e+02
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.093749999997e+02
0.000000000000e+00,-4.999999999998e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.812499999975e+01
0.000000000000e+00,-4.999999999998e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687499999976e+01
0.000000000000e+00,-4.999999999998e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562499999977e+01
0.000000000000e+00,1.320883506739e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.121874847702e-10
0.000000000000e+00,5.539188899228e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.023006127200e-10
0.000000000000e+00,2.726985304236e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.901321548120e-10
0.000000000000e+00,1.960020687419e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.787242255233e-10
0.000000000000e+00,3.067858467265e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.657952389961e-10
0.000000000000e+00,1.107837779846e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.574294241843e-10
0.000000000000e+00,1.960020687419e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.445004376571e-10
0.000000000000e+00,3.067858467265e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.300503938914e-10
0.000000000000e+00,1.107837779846e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.102766497910e-10
0.000000000000e+00,1.107837779846e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.974237707127e-11
0.000000000000e+00,4.175696247111e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.768704711307e-11
0.000000000000e+00,2.641767013478e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.791330301263e-11
0.000000000000e+00,-8.521829075736e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.890008753142e-11
0.000000000000e+00,2.641767013478e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.521057238496e-11
0.000000000000e+00,3.067858467265e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.323700334736e-12
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
