Row (Global DOF),Column (Global DOF),K Value
0,0,1.000000000000e+36
1,1,1.000000000000e+36
2,2,1.000000000000e+36
3,3,1.000000000000e+36
4,4,1.000000000000e+36
5,5,1.000000000000e+36
6,6,1.100400000000e+09
6,12,-5.502000000000e+08
7,7,3.537000000000e+08
7,11,0.000000000000e+00
7,13,-1.768500000000e+08
7,17,4.421250000000e+07
8,8,3.537000000000e+08
8,10,0.000000000000e+00
8,14,-1.768500000000e+08
8,16,-4.421250000000e+07
9,9,8.445805200000e+03
9,15,-4.222902600000e+03
10,8,0.000000000000e+00
10,10,2.237790600000e+07
10,14,4.421250000000e+07
10,16,1.091729700000e+07
11,7,0.000000000000e+00
11,11,2.385990960000e+07
11,13,-4.421250000000e+07
11,17,1.017629520000e+07
12,6,-5.502000000000e+08
12,12,1.100400000000e+09
12,18,-5.502000000000e+08
13,7,-1.768500000000e+08
13,11,-4.421250000000e+07
13,13,3.537000000000e+08
13,17,0.000000000000e+00
13,19,-1.768500000000e+08
13,23,4.421250000000e+07
14,8,-1.768500000000e+08
14,10,4.421250000000e+07
14,14,3.537000000000e+08
14,16,0.000000000000e+00
14,20,-1.768500000000e+08
14,22,-4.421250000000e+07
15,9,-4.222902600000e+03
15,15,8.445805200000e+03
15,21,-4.222902600000e+03
16,8,-4.421250000000e+07
16,10,1.091729700000e+07
16,14,0.000000000000e+00
16,16,2.237790600000e+07
16,20,4.421250000000e+07
16,22,1.091729700000e+07
17,7,4.421250000000e+07
17,11,1.017629520000e+07
17,13,0.000000000000e+00
17,17,2.385990960000e+07
17,19,-4.421250000000e+07
17,23,1.017629520000e+07
18,12,-5.502000000000e+08
18,18,1.100400000000e+09
18,24,-5.502000000000e+08
19,13,-1.768500000000e+08
19,17,-4.421250000000e+07
19,19,3.537000000000e+08
19,23,0.000000000000e+00
19,25,-1.768500000000e+08
19,29,4.421250000000e+07
20,14,-1.768500000000e+08
20,16,4.421250000000e+07
20,20,3.537000000000e+08
20,22,0.000000000000e+00
20,26,-1.768500000000e+08
20,28,-4.421250000000e+07
21,15,-4.222902600000e+03
21,21,8.445805200000e+03
21,27,-4.222902600000e+03
22,14,-4.421250000000e+07
22,16,1.091729700000e+07
22,20,0.000000000000e+00
22,22,2.237790600000e+07
22,26,4.421250000000e+07
22,28,1.091729700000e+07
23,13,4.421250000000e+07
23,17,1.017629520000e+07
23,19,0.000000000000e+00
23,23,2.385990960000e+07
23,25,-4.421250000000e+07
23,29,1.017629520000e+07
24,18,-5.502000000000e+08
24,24,5.502000000000e+08
25,19,-1.768500000000e+08
25,23,-4.421250000000e+07
25,25,1.768500000000e+08
25,29,-4.421250000000e+07
26,20,-1.768500000000e+08
26,22,4.421250000000e+07
26,26,1.768500000000e+08
26,28,4.421250000000e+07
27,21,-4.222902600000e+03
27,27,4.222902600000e+03
28,20,-4.421250000000e+07
28,22,1.091729700000e+07
28,26,4.421250000000e+07
28,28,1.118895300000e+07
29,19,4.421250000000e+07
29,23,1.017629520000e+07
29,25,-4.421250000000e+07
29,29,1.192995480000e+07
