Global DOF,Value
0,0.000000000000e+00
1,-5.000000000000e+02
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-5.000000000000e+02
6,0.000000000000e+00
7,-7.275957614183e-12
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,1.818989403546e-12
12,0.000000000000e+00
13,-1.091393642128e-11
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,6.366462912410e-12
18,0.000000000000e+00
19,0.000000000000e+00
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,1.000444171950e-11
24,0.000000000000e+00
25,-2.910383045673e-11
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,3.637978807092e-12
