Global DOF,Value
0,0.000000000000e+00
1,0.000000000000e+00
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,0.000000000000e+00
6,0.000000000000e+00
7,-1.097465223062e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.276770702820e-04
12,0.000000000000e+00
13,-3.620520680397e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.702360937094e-04
18,0.000000000000e+00
19,-6.471701148944e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-5.702360937094e-04
24,0.000000000000e+00
25,-9.322881617491e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-5.702360937094e-04
