Condensed DOF,Value
0,0.000000000000e+00
1,-7.248734939763e-07
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-3.508288467182e-05
6,0.000000000000e+00
7,-2.528684909408e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-6.905202697312e-05
12,0.000000000000e+00
13,-5.376629797215e-06
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.019074269039e-04
18,0.000000000000e+00
19,-9.233903708319e-06
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.336490844641e-04
24,0.000000000000e+00
25,-1.406570219364e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.642769996538e-04
30,0.000000000000e+00
31,-1.983722080410e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.937911724730e-04
36,0.000000000000e+00
37,-2.651365509062e-05
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-2.221916029216e-04
42,0.000000000000e+00
43,-3.406020060412e-05
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-2.494782909997e-04
48,0.000000000000e+00
49,-4.244205289552e-05
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-2.756512367073e-04
54,0.000000000000e+00
55,-5.162440751575e-05
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-3.007104400443e-04
60,0.000000000000e+00
61,-6.157246001571e-05
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-3.246559010109e-04
66,0.000000000000e+00
67,-7.225140594634e-05
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-3.474876196068e-04
72,0.000000000000e+00
73,-8.362644085856e-05
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-3.692055958323e-04
78,0.000000000000e+00
79,-9.566276030328e-05
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-3.898098296872e-04
84,0.000000000000e+00
85,-1.083255598314e-04
86,0.000000000000e+00
87,0.000000000000e+00
88,0.000000000000e+00
89,-4.093003211716e-04
90,0.000000000000e+00
91,-1.215800349939e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-4.276770702855e-04
96,0.000000000000e+00
97,-1.353913813417e-04
98,0.000000000000e+00
99,0.000000000000e+00
100,0.000000000000e+00
101,-4.449400770288e-04
102,0.000000000000e+00
103,-1.497247944256e-04
104,0.000000000000e+00
105,0.000000000000e+00
106,0.000000000000e+00
107,-4.610893414016e-04
108,0.000000000000e+00
109,-1.645454697967e-04
110,0.000000000000e+00
111,0.000000000000e+00
112,0.000000000000e+00
113,-4.761248634039e-04
114,0.000000000000e+00
115,-1.798186030058e-04
116,0.000000000000e+00
117,0.000000000000e+00
118,0.000000000000e+00
119,-4.900466430356e-04
120,0.000000000000e+00
121,-1.955093896038e-04
122,0.000000000000e+00
123,0.000000000000e+00
124,0.000000000000e+00
125,-5.028546802968e-04
126,0.000000000000e+00
127,-2.115830251418e-04
128,0.000000000000e+00
129,0.000000000000e+00
130,0.000000000000e+00
131,-5.145489751875e-04
132,0.000000000000e+00
133,-2.280047051705e-04
134,0.000000000000e+00
135,0.000000000000e+00
136,0.000000000000e+00
137,-5.251295277076e-04
138,0.000000000000e+00
139,-2.447396252409e-04
140,0.000000000000e+00
141,0.000000000000e+00
142,0.000000000000e+00
143,-5.345963378572e-04
144,0.000000000000e+00
145,-2.617529809040e-04
146,0.000000000000e+00
147,0.000000000000e+00
148,0.000000000000e+00
149,-5.429494056363e-04
150,0.000000000000e+00
151,-2.790099677106e-04
152,0.000000000000e+00
153,0.000000000000e+00
154,0.000000000000e+00
155,-5.501887310448e-04
156,0.000000000000e+00
157,-2.964757812117e-04
158,0.000000000000e+00
159,0.000000000000e+00
160,0.000000000000e+00
161,-5.563143140829e-04
162,0.000000000000e+00
163,-3.141156169582e-04
164,0.000000000000e+00
165,0.000000000000e+00
166,0.000000000000e+00
167,-5.613261547503e-04
168,0.000000000000e+00
169,-3.318946705010e-04
170,0.000000000000e+00
171,0.000000000000e+00
172,0.000000000000e+00
173,-5.652242530473e-04
174,0.000000000000e+00
175,-3.497781373911e-04
176,0.000000000000e+00
177,0.000000000000e+00
178,0.000000000000e+00
179,-5.680086089737e-04
180,0.000000000000e+00
181,-3.677312131793e-04
182,0.000000000000e+00
183,0.000000000000e+00
184,0.000000000000e+00
185,-5.696792225296e-04
186,0.000000000000e+00
187,-3.857190934166e-04
188,0.000000000000e+00
189,0.000000000000e+00
190,0.000000000000e+00
191,-5.702360937150e-04
192,0.000000000000e+00
193,-4.035389713452e-04
194,0.000000000000e+00
195,0.000000000000e+00
196,0.000000000000e+00
197,-5.702360937151e-04
198,0.000000000000e+00
199,-4.213588492738e-04
200,0.000000000000e+00
201,0.000000000000e+00
202,0.000000000000e+00
203,-5.702360937152e-04
204,0.000000000000e+00
205,-4.391787272024e-04
206,0.000000000000e+00
207,0.000000000000e+00
208,0.000000000000e+00
209,-5.702360937152e-04
210,0.000000000000e+00
211,-4.569986051310e-04
212,0.000000000000e+00
213,0.000000000000e+00
214,0.000000000000e+00
215,-5.702360937153e-04
216,0.000000000000e+00
217,-4.748184830596e-04
218,0.000000000000e+00
219,0.000000000000e+00
220,0.000000000000e+00
221,-5.702360937154e-04
222,0.000000000000e+00
223,-4.926383609882e-04
224,0.000000000000e+00
225,0.000000000000e+00
226,0.000000000000e+00
227,-5.702360937155e-04
228,0.000000000000e+00
229,-5.104582389168e-04
230,0.000000000000e+00
231,0.000000000000e+00
232,0.000000000000e+00
233,-5.702360937155e-04
234,0.000000000000e+00
235,-5.282781168454e-04
236,0.000000000000e+00
237,0.000000000000e+00
238,0.000000000000e+00
239,-5.702360937156e-04
240,0.000000000000e+00
241,-5.460979947740e-04
242,0.000000000000e+00
243,0.000000000000e+00
244,0.000000000000e+00
245,-5.702360937156e-04
246,0.000000000000e+00
247,-5.639178727027e-04
248,0.000000000000e+00
249,0.000000000000e+00
250,0.000000000000e+00
251,-5.702360937157e-04
252,0.000000000000e+00
253,-5.817377506313e-04
254,0.000000000000e+00
255,0.000000000000e+00
256,0.000000000000e+00
257,-5.702360937157e-04
258,0.000000000000e+00
259,-5.995576285599e-04
260,0.000000000000e+00
261,0.000000000000e+00
262,0.000000000000e+00
