ε_xx,ε_yy,ε_zz,γ_xy,γ_yz,γ_xz
0.000000000000e+00,0.000000000000e+00,-1.122652309498e-03,-2.319595180724e-05,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.104832431570e-03,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.069192675713e-03,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.033552919856e-03,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.979131639989e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.622734081419e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.266336522849e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.909938964279e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.553541405709e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.197143847139e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.840746288569e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.484348729999e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.127951171430e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-6.771553612860e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-6.415156054290e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-6.058758495720e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.702360937150e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.345963378580e-04,-5.376073878695e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.989565820010e-04,-5.376073878695e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.633168261440e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.276770702870e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.920373144300e-04,-5.376073878695e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.563975585730e-04,-5.376073878695e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.207578027160e-04,-5.376073878694e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.851180468590e-04,-5.376073878695e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.494782910020e-04,-5.376073878697e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.138385351450e-04,-5.376073878698e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.781987792880e-04,-5.376073878696e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.425590234310e-04,-5.376073878700e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.069192675740e-04,-5.376073878700e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.127951171703e-05,-5.376073878700e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.563975586002e-05,-5.376073878697e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.909938967221e-06,-2.688036939360e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.848415947554e-15,-2.603921370392e-17,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.697495005144e-15,-2.345549005422e-17,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.553512956638e-15,-2.145000756317e-17,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.409530908132e-15,-2.083504327599e-17,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.277691923958e-15,-1.826968119055e-17,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.152791833687e-15,-1.911868136427e-17,0.000000000000e+00,0.000000000000e+00
