# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.921875000035e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.765625000034e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.609375000034e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.453125000033e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.296875000032e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.140625000032e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.984375000031e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.828125000030e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.671875000030e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.515625000029e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.359375000028e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.203125000028e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.046875000027e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.890625000026e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.734375000025e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.578125000025e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.421875000024e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.265625000023e+02
0.000000000000e+00,-5.000000000022e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.109375000023e+02
0.000000000000e+00,-5.000000000023e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.953125000022e+02
0.000000000000e+00,-5.000000000023e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.796875000021e+02
0.000000000000e+00,-5.000000000021e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.640625000021e+02
0.000000000000e+00,-5.000000000021e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.484375000020e+02
0.000000000000e+00,-5.000000000021e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.328125000019e+02
0.000000000000e+00,-5.000000000021e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.171875000019e+02
0.000000000000e+00,-5.000000000024e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.015625000018e+02
0.000000000000e+00,-5.000000000024e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.593750000173e+01
0.000000000000e+00,-5.000000000024e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.031250000166e+01
0.000000000000e+00,-5.000000000027e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.468750000158e+01
