element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,1.701478e+03,0.000000e+00,4.921875e+02,1.701478e+03,-1.701478e+03,2.987865e+03,1.764961e+03
1,0.000000e+00,1.663336e+03,0.000000e+00,4.765625e+02,1.663336e+03,-1.663336e+03,2.920133e+03,1.717490e+03
2,0.000000e+00,1.625194e+03,0.000000e+00,4.609375e+02,1.625194e+03,-1.625194e+03,2.852408e+03,1.670116e+03
3,0.000000e+00,1.587052e+03,0.000000e+00,4.453125e+02,1.587052e+03,-1.587052e+03,2.784691e+03,1.622847e+03
4,0.000000e+00,1.548910e+03,0.000000e+00,4.296875e+02,1.548910e+03,-1.548910e+03,2.716983e+03,1.575692e+03
5,0.000000e+00,1.510768e+03,0.000000e+00,4.140625e+02,1.510768e+03,-1.510768e+03,2.649284e+03,1.528661e+03
6,0.000000e+00,1.472625e+03,0.000000e+00,3.984375e+02,1.472625e+03,-1.472625e+03,2.581594e+03,1.481769e+03
7,0.000000e+00,1.434483e+03,0.000000e+00,3.828125e+02,1.434483e+03,-1.434483e+03,2.513916e+03,1.435031e+03
8,0.000000e+00,1.396341e+03,0.000000e+00,3.671875e+02,1.396341e+03,-1.396341e+03,2.446249e+03,1.388472e+03
9,0.000000e+00,1.358199e+03,0.000000e+00,3.515625e+02,1.358199e+03,-1.358199e+03,2.378594e+03,1.342120e+03
10,0.000000e+00,1.320057e+03,0.000000e+00,3.359375e+02,1.320057e+03,-1.320057e+03,2.310953e+03,1.296017e+03
11,0.000000e+00,1.281915e+03,0.000000e+00,3.203125e+02,1.281915e+03,-1.281915e+03,2.243327e+03,1.250222e+03
12,0.000000e+00,1.243772e+03,0.000000e+00,3.046875e+02,1.243772e+03,-1.243772e+03,2.175717e+03,1.204820e+03
13,0.000000e+00,1.205630e+03,0.000000e+00,2.890625e+02,1.205630e+03,-1.205630e+03,2.108125e+03,1.159940e+03
14,0.000000e+00,1.167488e+03,0.000000e+00,2.734375e+02,1.167488e+03,-1.167488e+03,2.040552e+03,1.115791e+03
15,0.000000e+00,1.129346e+03,0.000000e+00,2.578125e+02,1.129346e+03,-1.129346e+03,1.973001e+03,1.072713e+03
16,0.000000e+00,1.091204e+03,0.000000e+00,2.421875e+02,1.091204e+03,-1.091204e+03,1.905474e+03,1.031293e+03
17,0.000000e+00,1.053062e+03,0.000000e+00,2.265625e+02,1.053062e+03,-1.053062e+03,1.837973e+03,9.925459e+02
18,0.000000e+00,1.014919e+03,0.000000e+00,2.109375e+02,1.014919e+03,-1.014919e+03,1.770502e+03,9.581203e+02
19,0.000000e+00,9.767772e+02,0.000000e+00,1.953125e+02,9.767772e+02,-9.767772e+02,1.703064e+03,9.300840e+02
20,0.000000e+00,9.386350e+02,0.000000e+00,1.796875e+02,9.386350e+02,-9.386350e+02,1.635663e+03,9.096343e+02
21,0.000000e+00,9.004928e+02,0.000000e+00,1.640625e+02,9.004928e+02,-9.004928e+02,1.568304e+03,8.958953e+02
22,0.000000e+00,8.623507e+02,0.000000e+00,1.484375e+02,8.623507e+02,-8.623507e+02,1.500993e+03,8.868319e+02
23,0.000000e+00,8.242085e+02,0.000000e+00,1.328125e+02,8.242085e+02,-8.242085e+02,1.433736e+03,8.806904e+02
24,0.000000e+00,7.860663e+02,0.000000e+00,1.171875e+02,7.860663e+02,-7.860663e+02,1.366541e+03,8.763640e+02
25,0.000000e+00,7.479241e+02,0.000000e+00,1.015625e+02,7.479241e+02,-7.479241e+02,1.299418e+03,8.732144e+02
26,0.000000e+00,7.097820e+02,0.000000e+00,8.593750e+01,7.097820e+02,-7.097820e+02,1.232378e+03,8.708742e+02
27,0.000000e+00,6.716398e+02,0.000000e+00,7.031250e+01,6.716398e+02,-6.716398e+02,1.165437e+03,8.691262e+02
28,0.000000e+00,6.334976e+02,0.000000e+00,5.468750e+01,6.334976e+02,-6.334976e+02,1.098612e+03,8.678382e+02
29,0.000000e+00,5.953554e+02,0.000000e+00,3.906250e+01,5.953554e+02,-5.953554e+02,1.031925e+03,8.669280e+02
30,0.000000e+00,5.572133e+02,0.000000e+00,2.343750e+01,5.572133e+02,-5.572133e+02,9.654062e+02,8.663453e+02
31,0.000000e+00,5.190711e+02,0.000000e+00,7.812500e+00,5.190711e+02,-5.190711e+02,8.990914e+02,8.660607e+02
32,0.000000e+00,5.522145e-09,0.000000e+00,1.283772e-09,5.522145e-09,-5.522145e-09,9.650406e-09,5.252517e-09
33,0.000000e+00,5.215359e-09,0.000000e+00,1.213804e-09,5.215359e-09,-5.215359e-09,9.114452e-09,5.026638e-09
34,0.000000e+00,4.908574e-09,0.000000e+00,1.151440e-09,4.908574e-09,-4.908574e-09,8.579516e-09,4.743743e-09
35,0.000000e+00,4.601788e-09,0.000000e+00,1.087556e-09,4.601788e-09,-4.601788e-09,8.044385e-09,4.395349e-09
36,0.000000e+00,4.295002e-09,0.000000e+00,1.025193e-09,4.295002e-09,-4.295002e-09,7.509470e-09,4.178823e-09
37,0.000000e+00,3.988216e-09,0.000000e+00,9.719556e-10,3.988216e-09,-3.988216e-09,6.975837e-09,3.916363e-09
38,0.000000e+00,3.988216e-09,0.000000e+00,9.156765e-10,3.988216e-09,-3.988216e-09,6.968218e-09,3.781335e-09
39,0.000000e+00,3.988216e-09,0.000000e+00,8.593973e-10,3.988216e-09,-3.988216e-09,6.961046e-09,3.757820e-09
40,0.000000e+00,3.374644e-09,0.000000e+00,8.015972e-10,3.374644e-09,-3.374644e-09,5.899765e-09,3.335351e-09
