Row (Local DOF),Column (Local DOF),K_e Value
0,0,1.100400000000e+09
0,6,-1.100400000000e+09
1,1,3.537000000000e+08
1,5,4.421250000000e+07
1,7,-3.537000000000e+08
1,11,4.421250000000e+07
2,2,3.537000000000e+08
2,4,-4.421250000000e+07
2,8,-3.537000000000e+08
2,10,-4.421250000000e+07
3,3,8.445805200000e+03
3,9,-8.445805200000e+03
4,2,-4.421250000000e+07
4,4,5.798218500000e+06
4,8,4.421250000000e+07
4,10,5.254906500000e+06
5,1,4.421250000000e+07
5,5,7.280222100000e+06
5,7,-4.421250000000e+07
5,11,3.772902900000e+06
6,0,-1.100400000000e+09
6,6,1.100400000000e+09
7,1,-3.537000000000e+08
7,5,-4.421250000000e+07
7,7,3.537000000000e+08
7,11,-4.421250000000e+07
8,2,-3.537000000000e+08
8,4,4.421250000000e+07
8,8,3.537000000000e+08
8,10,4.421250000000e+07
9,3,-8.445805200000e+03
9,9,8.445805200000e+03
10,2,-4.421250000000e+07
10,4,5.254906500000e+06
10,8,4.421250000000e+07
10,10,5.798218500000e+06
11,1,4.421250000000e+07
11,5,3.772902900000e+06
11,7,-4.421250000000e+07
11,11,7.280222100000e+06
