Condensed DOF,Value
0,0.000000000000e+00
1,-3.259841374256e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-2.494782909978e-04
6,0.000000000000e+00
7,-1.186564612704e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-4.276770702820e-04
12,0.000000000000e+00
13,-2.403542646550e-04
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-5.345963378525e-04
18,0.000000000000e+00
19,-3.798719459681e-04
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-5.702360937094e-04
24,0.000000000000e+00
25,-5.224309693954e-04
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-5.702360937094e-04
30,0.000000000000e+00
31,-6.649899928228e-04
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-5.702360937094e-04
36,-0.000000000000e+00
37,-8.075490162501e-04
38,-0.000000000000e+00
39,-0.000000000000e+00
40,-0.000000000000e+00
41,-5.702360937094e-04
42,0.000000000000e+00
43,-9.501080396774e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-5.702360937094e-04
