N,Vy,Vz,T,My,Mz
0.000000000000e+00,-8.877755096396e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.460937500018e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.421875000018e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.343750000018e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.265625000018e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.187500000017e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.109375000017e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.031250000017e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.953125000017e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.875000000017e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.796875000016e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.718750000016e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.640625000016e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562500000016e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.484375000016e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.406250000015e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.328125000015e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.250000000015e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.171875000015e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.093750000015e+02
0.000000000000e+00,-4.938448331816e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.015625000015e+02
