element_id,total_strain_energy
0,1.105726236540e-03
1,1.038015906329e-03
2,9.724897803172e-04
3,9.091478585062e-04
4,8.479901408955e-04
5,7.890166274853e-04
6,7.322273182754e-04
7,6.776222132659e-04
8,6.252013124567e-04
9,5.749646158479e-04
10,5.269121234395e-04
11,4.810438352315e-04
12,4.373597512238e-04
13,3.958598714165e-04
14,3.565441958095e-04
15,3.194127244030e-04
16,2.844654571967e-04
17,2.517023941909e-04
18,2.211235353854e-04
19,1.927288807803e-04
20,1.665184303756e-04
21,1.424921841712e-04
22,1.206501421672e-04
23,1.009923043635e-04
24,8.351867076026e-05
25,6.822924135735e-05
26,5.512401615481e-05
27,4.420299515263e-05
28,3.546617835082e-05
29,2.891356574938e-05
30,2.454515734831e-05
31,2.236095314760e-05
32,2.648400605104e-26
33,2.561930364625e-26
34,2.480005469276e-26
35,2.394286353836e-26
36,2.318548174221e-26
37,2.245993222425e-26
38,2.167884039550e-26
39,2.092912308566e-26
40,2.021686267957e-26
41,1.945202007798e-26
42,1.879746973268e-26
43,1.812257079176e-26
44,1.744926047946e-26
45,1.685759392317e-26
46,1.616694575672e-26
47,1.559747193861e-26
48,1.502354253762e-26
49,1.442783370576e-26
50,1.390679742993e-26
51,1.339638971827e-26
52,1.289621148157e-26
53,1.235321397303e-26
54,1.187824909474e-26
55,1.132175671217e-26
56,1.080909211107e-26
57,1.031416711072e-26
58,9.837474385292e-27
59,9.341488496873e-27
60,8.868079833773e-27
61,8.402041628106e-27
62,7.996103018325e-27
63,7.592677796908e-27
64,7.209903753459e-27
65,6.774956125114e-27
66,6.388648442080e-27
67,5.946830728932e-27
68,5.613555667728e-27
69,5.288841269281e-27
70,4.900366935259e-27
71,4.623968199579e-27
72,4.274503555047e-27
73,4.011327242184e-27
74,3.712281435416e-27
75,3.495155098388e-27
76,3.216319401511e-27
77,2.871653607522e-27
78,2.589984508438e-27
79,2.333913422813e-27
80,2.053567002686e-27
81,1.876424438321e-27
82,1.683070365501e-27
83,1.540352135550e-27
84,1.392389422371e-27
85,1.299157898928e-27
86,1.149099669305e-27
87,1.068099503861e-27
88,9.343695549134e-28
89,8.669911311900e-28
90,7.253379030778e-28
91,6.819577935953e-28
92,5.640417950067e-28
93,4.980249170847e-28
94,4.330868399744e-28
95,3.796961408900e-28
96,3.480877550035e-28
97,3.027664438785e-28
98,2.780128079395e-28
99,2.370421459974e-28
100,1.677510138457e-28
101,1.229355266878e-28
102,1.250646217877e-28
103,8.178779033374e-29
104,8.414601166640e-29
105,8.768320902074e-29
106,4.551848330948e-29
107,4.180978676484e-29
108,3.537816587128e-29
109,1.698370532536e-29
110,3.698264575115e-29
111,3.563081965636e-30
112,2.583908912930e-30
113,6.840739357326e-30
114,1.412600318816e-30
115,1.425497639238e-29
116,9.150320903708e-30
117,6.097834695273e-30
118,3.474017271881e-30
119,7.598440295911e-30
120,1.095406073764e-29
121,6.334367938909e-30
122,6.361590124072e-30
123,5.650401275264e-30
124,4.784606154977e-30
125,3.695754238985e-30
126,3.695754238985e-30
127,3.706061323751e-30
