element_id,max_axial_force,max_shear_force,max_torque,max_moment,max_principal_s1,min_principal_s3,max_von_mises,mean_von_mises
0,0.000000e+00,8.003696e+02,0.000000e+00,2.460938e+02,8.003696e+02,-8.003696e+02,1.407955e+03,9.108904e+02
1,0.000000e+00,7.908341e+02,0.000000e+00,2.382813e+02,7.908341e+02,-7.908341e+02,1.390336e+03,9.073891e+02
2,0.000000e+00,7.812985e+02,0.000000e+00,2.304688e+02,7.812985e+02,-7.812985e+02,1.372734e+03,9.041016e+02
3,0.000000e+00,7.717630e+02,0.000000e+00,2.226563e+02,7.717630e+02,-7.717630e+02,1.355149e+03,9.010163e+02
4,0.000000e+00,7.622274e+02,0.000000e+00,2.148438e+02,7.622274e+02,-7.622274e+02,1.337584e+03,8.981219e+02
5,0.000000e+00,7.526919e+02,0.000000e+00,2.070313e+02,7.526919e+02,-7.526919e+02,1.320037e+03,8.954076e+02
6,0.000000e+00,7.431564e+02,0.000000e+00,1.992188e+02,7.431564e+02,-7.431564e+02,1.302510e+03,8.928634e+02
7,0.000000e+00,7.336208e+02,0.000000e+00,1.914063e+02,7.336208e+02,-7.336208e+02,1.285004e+03,8.904796e+02
8,0.000000e+00,7.240853e+02,0.000000e+00,1.835938e+02,7.240853e+02,-7.240853e+02,1.267519e+03,8.882473e+02
9,0.000000e+00,7.145497e+02,0.000000e+00,1.757813e+02,7.145497e+02,-7.145497e+02,1.250057e+03,8.861583e+02
10,0.000000e+00,7.050142e+02,0.000000e+00,1.679688e+02,7.050142e+02,-7.050142e+02,1.232619e+03,8.842049e+02
11,0.000000e+00,6.954786e+02,0.000000e+00,1.601563e+02,6.954786e+02,-6.954786e+02,1.215204e+03,8.823800e+02
12,0.000000e+00,6.859431e+02,0.000000e+00,1.523438e+02,6.859431e+02,-6.859431e+02,1.197816e+03,8.806771e+02
13,0.000000e+00,6.764076e+02,0.000000e+00,1.445313e+02,6.764076e+02,-6.764076e+02,1.180454e+03,8.790902e+02
14,0.000000e+00,6.668720e+02,0.000000e+00,1.367188e+02,6.668720e+02,-6.668720e+02,1.163119e+03,8.776138e+02
15,0.000000e+00,6.573365e+02,0.000000e+00,1.289063e+02,6.573365e+02,-6.573365e+02,1.145814e+03,8.762430e+02
16,0.000000e+00,6.478009e+02,0.000000e+00,1.210938e+02,6.478009e+02,-6.478009e+02,1.128540e+03,8.749732e+02
17,0.000000e+00,6.382654e+02,0.000000e+00,1.132813e+02,6.382654e+02,-6.382654e+02,1.111297e+03,8.738003e+02
18,0.000000e+00,6.287298e+02,0.000000e+00,1.054688e+02,6.287298e+02,-6.287298e+02,1.094087e+03,8.727206e+02
19,0.000000e+00,6.191943e+02,0.000000e+00,9.765625e+01,6.191943e+02,-6.191943e+02,1.076913e+03,8.717307e+02
20,0.000000e+00,6.096587e+02,0.000000e+00,8.984375e+01,6.096587e+02,-6.096587e+02,1.059775e+03,8.708275e+02
21,0.000000e+00,6.001232e+02,0.000000e+00,8.203125e+01,6.001232e+02,-6.001232e+02,1.042676e+03,8.700085e+02
22,0.000000e+00,5.905877e+02,0.000000e+00,7.421875e+01,5.905877e+02,-5.905877e+02,1.025617e+03,8.692710e+02
23,0.000000e+00,5.810521e+02,0.000000e+00,6.640625e+01,5.810521e+02,-5.810521e+02,1.008600e+03,8.686131e+02
24,0.000000e+00,5.715166e+02,0.000000e+00,5.859375e+01,5.715166e+02,-5.715166e+02,9.916284e+02,8.680327e+02
25,0.000000e+00,5.619810e+02,0.000000e+00,5.078125e+01,5.619810e+02,-5.619810e+02,9.747034e+02,8.675284e+02
26,0.000000e+00,5.524455e+02,0.000000e+00,4.296875e+01,5.524455e+02,-5.524455e+02,9.578279e+02,8.670986e+02
27,0.000000e+00,5.429099e+02,0.000000e+00,3.515625e+01,5.429099e+02,-5.429099e+02,9.410046e+02,8.667422e+02
28,0.000000e+00,5.333744e+02,0.000000e+00,2.734375e+01,5.333744e+02,-5.333744e+02,9.242361e+02,8.664583e+02
29,0.000000e+00,5.238389e+02,0.000000e+00,1.953125e+01,5.238389e+02,-5.238389e+02,9.075257e+02,8.662460e+02
30,0.000000e+00,5.143033e+02,0.000000e+00,1.171875e+01,5.143033e+02,-5.143033e+02,8.908766e+02,8.661047e+02
31,0.000000e+00,5.047678e+02,0.000000e+00,3.906250e+00,5.047678e+02,-5.047678e+02,8.742922e+02,8.660342e+02
32,0.000000e+00,2.646028e-09,0.000000e+00,1.213804e-09,2.646028e-09,-2.646028e-09,4.741066e-09,2.818759e-09
33,0.000000e+00,2.722724e-09,0.000000e+00,1.193269e-09,2.722724e-09,-2.722724e-09,4.864522e-09,2.866267e-09
34,0.000000e+00,2.646028e-09,0.000000e+00,1.174256e-09,2.646028e-09,-2.646028e-09,4.731096e-09,2.780497e-09
35,0.000000e+00,2.607680e-09,0.000000e+00,1.153722e-09,2.607680e-09,-2.607680e-09,4.661658e-09,2.740826e-09
36,0.000000e+00,2.530983e-09,0.000000e+00,1.135469e-09,2.530983e-09,-2.530983e-09,4.528457e-09,2.675091e-09
37,0.000000e+00,2.530983e-09,0.000000e+00,1.117217e-09,2.530983e-09,-2.530983e-09,4.523914e-09,2.703765e-09
38,0.000000e+00,2.530983e-09,0.000000e+00,1.097443e-09,2.530983e-09,-2.530983e-09,4.519072e-09,2.680097e-09
39,0.000000e+00,2.607680e-09,0.000000e+00,1.077669e-09,2.607680e-09,-2.607680e-09,4.643420e-09,2.741120e-09
40,0.000000e+00,2.530983e-09,0.000000e+00,1.059416e-09,2.530983e-09,-2.530983e-09,4.509988e-09,2.650857e-09
41,0.000000e+00,2.377590e-09,0.000000e+00,1.039643e-09,2.377590e-09,-2.377590e-09,4.247313e-09,2.522636e-09
42,0.000000e+00,2.454287e-09,0.000000e+00,1.021390e-09,2.454287e-09,-2.454287e-09,4.371934e-09,2.586693e-09
43,0.000000e+00,2.377590e-09,0.000000e+00,1.003137e-09,2.377590e-09,-2.377590e-09,4.238525e-09,2.490851e-09
44,0.000000e+00,2.377590e-09,0.000000e+00,9.841240e-10,2.377590e-09,-2.377590e-09,4.234065e-09,2.480198e-09
45,0.000000e+00,2.454287e-09,0.000000e+00,9.666319e-10,2.454287e-09,-2.454287e-09,4.359466e-09,2.556713e-09
46,0.000000e+00,2.377590e-09,0.000000e+00,9.468581e-10,2.377590e-09,-2.377590e-09,4.225559e-09,2.459524e-09
47,0.000000e+00,2.377590e-09,0.000000e+00,9.293660e-10,2.377590e-09,-2.377590e-09,4.221674e-09,2.543447e-09
48,0.000000e+00,2.377590e-09,0.000000e+00,9.118738e-10,2.377590e-09,-2.377590e-09,4.217857e-09,2.534372e-09
