Condensed DOF,Value
0,0.000000000000e+00
1,-4.604911980756e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,0.000000000000e+00
5,-6.236957274949e-05
6,0.000000000000e+00
7,-1.589227818467e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,0.000000000000e+00
11,-1.069192675706e-04
12,0.000000000000e+00
13,-3.163461387070e-05
14,0.000000000000e+00
15,0.000000000000e+00
16,0.000000000000e+00
17,-1.336490844632e-04
18,0.000000000000e+00
19,-4.960443429777e-05
20,0.000000000000e+00
21,0.000000000000e+00
22,0.000000000000e+00
23,-1.425590234274e-04
24,0.000000000000e+00
25,-6.742431222620e-05
26,0.000000000000e+00
27,0.000000000000e+00
28,0.000000000000e+00
29,-1.425590234274e-04
30,0.000000000000e+00
31,-8.524419015464e-05
32,0.000000000000e+00
33,0.000000000000e+00
34,0.000000000000e+00
35,-1.425590234275e-04
36,0.000000000000e+00
37,-1.030640680831e-04
38,0.000000000000e+00
39,0.000000000000e+00
40,0.000000000000e+00
41,-1.425590234275e-04
42,0.000000000000e+00
43,-1.208839460115e-04
44,0.000000000000e+00
45,0.000000000000e+00
46,0.000000000000e+00
47,-1.425590234275e-04
48,0.000000000000e+00
49,-1.387038239399e-04
50,0.000000000000e+00
51,0.000000000000e+00
52,0.000000000000e+00
53,-1.425590234275e-04
54,0.000000000000e+00
55,-1.565237018684e-04
56,0.000000000000e+00
57,0.000000000000e+00
58,0.000000000000e+00
59,-1.425590234275e-04
60,0.000000000000e+00
61,-1.743435797968e-04
62,0.000000000000e+00
63,0.000000000000e+00
64,0.000000000000e+00
65,-1.425590234275e-04
66,0.000000000000e+00
67,-1.921634577252e-04
68,0.000000000000e+00
69,0.000000000000e+00
70,0.000000000000e+00
71,-1.425590234275e-04
72,0.000000000000e+00
73,-2.099833356537e-04
74,0.000000000000e+00
75,0.000000000000e+00
76,0.000000000000e+00
77,-1.425590234275e-04
78,0.000000000000e+00
79,-2.278032135821e-04
80,0.000000000000e+00
81,0.000000000000e+00
82,0.000000000000e+00
83,-1.425590234275e-04
84,-0.000000000000e+00
85,-2.456230915106e-04
86,-0.000000000000e+00
87,-0.000000000000e+00
88,-0.000000000000e+00
89,-1.425590234275e-04
90,0.000000000000e+00
91,-2.634429694390e-04
92,0.000000000000e+00
93,0.000000000000e+00
94,0.000000000000e+00
95,-1.425590234275e-04
