ε_xx,ε_yy,ε_zz,γ_xy,γ_yz,γ_xz
0.000000000000e+00,0.000000000000e+00,-4.989565819959e-04,-3.683929584605e-05,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.276770702822e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.851180468549e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.425590234275e-04,-1.199539989199e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.563975585696e-05,-5.997699945995e-07,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.041918287759e-16,-2.465322123987e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-8.510987054011e-17,-2.894121073859e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-6.732895491135e-17,-1.640694516958e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.128276275856e-17,-1.594790606296e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.740497495075e-17,-3.367366294110e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.558717127066e-17,-2.644564845786e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.647987302178e-17,-7.916573143155e-20,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-9.540979117872e-18,9.923943511630e-20,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-5.312590645179e-18,-2.529805069133e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.035766082959e-18,-1.468554851978e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.252606517457e-18,1.829955576140e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.336808689942e-18,8.581809558562e-19,0.000000000000e+00,0.000000000000e+00
