# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000001e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.187500000001e+02
0.000000000000e+00,-5.000000000001e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562500000001e+02
0.000000000000e+00,-5.000000000001e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.375000000007e+01
0.000000000000e+00,-5.000000000001e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.125000000006e+01
0.000000000000e+00,-7.456600441269e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.019488887037e-11
0.000000000000e+00,-8.095737621949e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.116361151680e-11
0.000000000000e+00,-7.137031850929e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.346325924691e-11
0.000000000000e+00,-6.444633238525e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.557277482221e-11
0.000000000000e+00,-4.367437401315e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.939347979082e-11
0.000000000000e+00,-7.669646168162e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.340431691425e-11
0.000000000000e+00,-3.302208766848e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.031277353570e-12
0.000000000000e+00,-1.917411542041e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.418766412142e-12
0.000000000000e+00,-1.065228634467e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.947048399586e-12
0.000000000000e+00,-2.982640176508e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.711189393308e-12
0.000000000000e+00,-5.326143172335e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.506607740600e-13
0.000000000000e+00,4.900051718548e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.901321548120e-12
