# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-5.000000000001e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.187500000001e+02
0.000000000000e+00,-1.060693235449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.875000000001e+02
0.000000000000e+00,-1.060693235449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.250000000001e+02
0.000000000000e+00,-1.060693235449e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.250000000006e+01
0.000000000000e+00,-5.303466177246e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562500000005e+01
0.000000000000e+00,-2.179961088136e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.567925019358e-11
0.000000000000e+00,-2.559126559560e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.731343538186e-11
0.000000000000e+00,-1.450784126620e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.951801703456e-11
0.000000000000e+00,-1.410193593618e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.248312730652e-11
0.000000000000e+00,-2.977593645566e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.639889835254e-11
0.000000000000e+00,-2.338456464886e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.121779713391e-11
0.000000000000e+00,-7.000229801835e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.225021882856e-12
0.000000000000e+00,8.775247050159e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.182907405864e-12
0.000000000000e+00,-2.236980132381e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.329118896447e-12
0.000000000000e+00,-1.298569627862e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.330925083684e-12
0.000000000000e+00,1.618138218202e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.425991161090e-12
0.000000000000e+00,5.113097445442e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.901321548120e-12
