ε_xx,ε_yy,ε_zz,γ_xy,γ_yz,γ_xz
0.000000000000e+00,0.000000000000e+00,-5.345963378522e-04,-2.236064502919e-05,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.989565819954e-04,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-4.276770702818e-04,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-3.563975585681e-04,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.851180468544e-04,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-2.138385351408e-04,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.425590234271e-04,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-7.127951171344e-05,-4.540767100776e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,-1.781987792820e-05,-2.270383550388e-06,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,2.059984127722e-16,8.934649585622e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.919037845299e-16,9.826675418361e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.799775606326e-16,8.719521290545e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.693523793422e-16,5.466914773089e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.602450810934e-16,2.937109703956e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.526556658860e-16,2.575708979794e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.452830911131e-16,5.105514048927e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.370431546022e-16,4.721161369434e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.298874202638e-16,4.590391066126e-21,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.233822072289e-16,-6.768975376624e-20,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.162264728904e-16,3.614007241618e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.090707385520e-16,1.537410717970e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.023486850826e-16,1.399698985986e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,9.540979117872e-17,-2.030692612987e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,8.673617379884e-17,5.013706227604e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,7.632783294298e-17,-6.309936270012e-20,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,6.396792817664e-17,5.874219407912e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,5.052382123782e-17,8.719521290545e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,3.729655473350e-17,7.273918393898e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,2.450296909817e-17,6.642924766897e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.431146867681e-17,4.382712600603e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,6.938893903907e-18,5.782411586589e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,1.951563910474e-18,2.891205793295e-19,0.000000000000e+00,0.000000000000e+00
0.000000000000e+00,0.000000000000e+00,4.336808689942e-19,-5.782411586589e-19,0.000000000000e+00,0.000000000000e+00
