# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.343749999999e+02
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.031249999999e+02
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.718749999999e+02
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.406249999999e+02
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.093749999999e+02
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.812499999989e+01
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.687499999989e+01
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562499999990e+01
0.000000000000e+00,9.853364868820e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.373515232232e-11
0.000000000000e+00,1.043924061778e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.689039474909e-11
0.000000000000e+00,1.097185493501e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.137656225954e-11
0.000000000000e+00,7.137031850929e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.643312623443e-11
0.000000000000e+00,5.219620308888e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.206008667375e-11
0.000000000000e+00,2.450025859274e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.844757573232e-11
0.000000000000e+00,4.367437401315e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.540546125533e-11
0.000000000000e+00,7.137031850929e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.198308246871e-11
0.000000000000e+00,2.769594449614e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.818043937247e-11
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.570872135992e-11
0.000000000000e+00,1.065228634467e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.247647472811e-11
0.000000000000e+00,4.900051718548e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.943436025112e-11
0.000000000000e+00,2.769594449614e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.620211361932e-11
0.000000000000e+00,-2.130457268934e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.354026345195e-11
0.000000000000e+00,6.604417533695e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.011788466533e-11
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.593497725947e-11
0.000000000000e+00,3.834823084081e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.099154123436e-11
0.000000000000e+00,1.150446925224e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.509744443518e-11
0.000000000000e+00,6.604417533695e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.920334763601e-11
0.000000000000e+00,9.374011983310e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.349938299165e-11
0.000000000000e+00,1.043924061778e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.985550502104e-12
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.563171715488e-12
0.000000000000e+00,1.107837779846e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.521057238496e-12
0.000000000000e+00,-4.260914537868e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.901321548120e-13
