element_id,total_strain_energy
0,4.260924860040e-03
1,3.222417765040e-03
2,2.332268826469e-03
3,1.590478044327e-03
4,9.970454186126e-04
5,5.519709493273e-04
6,2.552546364706e-04
7,1.068964800424e-04
8,6.704304051573e-28
9,5.769759425878e-28
10,5.066204220134e-28
11,4.456721799059e-28
12,3.958053770770e-28
13,3.562756555004e-28
14,3.252586622818e-28
15,2.929990054347e-28
16,2.578228221070e-28
17,2.353610392007e-28
18,2.085591812675e-28
19,1.872692377704e-28
20,1.611930361145e-28
21,1.458114976417e-28
22,1.221408117672e-28
23,9.926311372357e-29
24,7.360164202108e-29
25,5.217367739576e-29
26,2.966379328185e-29
27,1.737821173430e-29
28,8.501036340423e-30
29,1.484220206207e-30
30,5.015590794913e-30
31,1.157499970874e-30
