# column_order=resultant
N,Vy,Vz,T,My,Mz
0.000000000000e+00,-4.999999999999e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.343749999999e+02
0.000000000000e+00,-4.015173308862e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.187499999999e+02
0.000000000000e+00,-4.015173308862e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.874999999999e+02
0.000000000000e+00,-4.015173308862e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.562499999999e+02
0.000000000000e+00,-4.015173308862e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.249999999999e+02
0.000000000000e+00,-4.015173308861e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.374999999988e+01
0.000000000000e+00,-4.015173308861e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.249999999989e+01
0.000000000000e+00,-4.015173308861e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.124999999990e+01
0.000000000000e+00,-2.007586654430e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.812499999903e+00
0.000000000000e+00,7.900463896086e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.031277353570e-11
0.000000000000e+00,8.689237738686e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.413347850431e-11
0.000000000000e+00,7.710236701165e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.890484424698e-11
0.000000000000e+00,4.834119388104e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.424660645409e-11
0.000000000000e+00,2.597139255723e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.025383120304e-11
0.000000000000e+00,2.277570665383e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.692651849383e-11
0.000000000000e+00,4.514550797764e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.369427186202e-11
0.000000000000e+00,4.174686940922e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.008176092059e-11
0.000000000000e+00,4.059053300221e-13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.694458036620e-11
0.000000000000e+00,-5.985466476780e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.409259804402e-11
0.000000000000e+00,3.195685903401e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.095541748962e-11
0.000000000000e+00,1.359455427365e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.781823693522e-11
0.000000000000e+00,1.237683828358e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.487118853563e-11
0.000000000000e+00,-1.795639943034e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.182907405864e-11
0.000000000000e+00,4.433369731759e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.802643096240e-11
0.000000000000e+00,-5.579561146758e-12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.346325924691e-11
0.000000000000e+00,5.194278511446e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.804449283477e-11
0.000000000000e+00,7.710236701165e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.215039603560e-11
0.000000000000e+00,6.431962339804e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.635136531383e-11
0.000000000000e+00,5.874006225128e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.074246674688e-11
0.000000000000e+00,3.875413617083e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.274361108796e-12
0.000000000000e+00,5.113097445442e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.042114476992e-12
0.000000000000e+00,2.556548722721e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.555946966540e-13
0.000000000000e+00,-5.113097445442e-11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.901321548120e-13
